Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1432,100,0,1,100,100,0,0,101,297,100,100,0.0336571541,3.4446781809,100.0000000000,15.9203326333,1.0000000000,0.8808000000,227.0663033606
1433,100,0,1,100,100,0,0,101,297,100,100,0.0354214176,3.4092567632,100.0000000000,15.9203723900,1.0000000000,0.8808000000,227.0663033606
1434,100,0,1,100,100,0,0,101,297,100,100,0.0371731363,3.3720836269,100.0000000000,15.9203901124,1.0000000000,0.8808000000,227.0663033606
1435,100,0,1,100,100,0,0,101,297,100,100,0.0375473524,3.3345362745,100.0000000000,15.9204078594,1.0000000000,0.8808000000,227.0663033606
1436,100,0,1,100,100,0,0,101,297,100,100,0.0294876863,3.3050485882,100.0000000000,15.9201971859,1.0000000000,0.8808000000,227.0663033606
1437,100,0,1,100,100,0,0,101,297,100,100,0.0314289543,3.2736196339,100.0000000000,15.9202794770,1.0000000000,0.8808000000,227.0663033606
1438,100,0,1,100,100,0,0,101,297,100,100,0.0317940000,3.2418256339,100.0000000000,15.9202739056,1.0000000000,0.8808000000,227.0663033606
1439,100,0,1,100,100,0,0,101,297,100,100,0.0312478376,3.2105777963,100.0000000000,15.9202577468,1.0000000000,0.8808000000,227.0663033606
1440,100,0,1,100,100,0,0,101,297,100,100,0.0302473798,3.1803304165,100.0000000000,15.9202360582,1.0000000000,0.8808000000,227.0663033606
1441,100,0,1,100,100,0,0,101,297,100,100,0.0298632279,3.1504671886,100.0000000000,15.9202106196,1.0000000000,0.8808000000,227.0663033606
1442,100,0,1,100,100,0,0,101,297,100,100,0.0296112512,3.1208559374,100.0000000000,15.9202055138,1.0000000000,0.8808000000,227.0663033606
1443,100,0,1,100,100,0,0,101,297,100,100,0.0307089207,3.0901470167,100.0000000000,15.9202510296,1.0000000000,0.8808000000,227.0663033606
1444,100,0,1,100,100,0,0,101,297,100,100,0.0289084780,3.0612385387,100.0000000000,15.9201442292,1.0000000000,0.8808000000,227.0663033606
1445,100,0,1,100,100,0,0,101,297,100,100,0.0332059040,3.0280326348,100.0000000000,15.9203305035,1.0000000000,0.8808000000,227.0663033606
1446,100,0,1,100,100,0,0,101,297,100,100,0.0332576261,2.9947750087,100.0000000000,15.9203258405,1.0000000000,0.8808000000,227.0663033606
1447,100,0,1,100,100,0,0,101,297,100,100,0.0357513295,2.9590236792,100.0000000000,15.9203699104,1.0000000000,0.8808000000,227.0663033606
1448,100,0,1,100,100,0,0,101,297,100,100,0.0291697685,2.9298539107,100.0000000000,15.9201694712,1.0000000000,0.8808000000,227.0663033606
1449,100,0,1,100,100,0,0,101,297,100,100,0.0302017213,2.8996521894,100.0000000000,15.9202208230,1.0000000000,0.8808000000,227.0663033606
1450,100,0,1,100,100,0,0,101,297,100,100,0.0350780079,2.8645741815,100.0000000000,15.9203612038,1.0000000000,0.8808000000,227.0663033606
1451,100,0,1,100,100,0,0,101,297,100,100,0.0310471362,2.8335270453,100.0000000000,15.9202672249,1.0000000000,0.8808000000,227.0663033606
1452,100,0,1,100,100,0,0,101,297,100,100,0.0353538111,2.7981732343,100.0000000000,15.9203687212,1.0000000000,0.8808000000,227.0663033606
1453,100,0,1,100,100,0,0,101,297,100,100,0.0310460362,2.7671271981,100.0000000000,15.9202678172,1.0000000000,0.8808000000,227.0663033606
1454,100,0,1,100,100,0,0,101,297,100,100,0.0304065818,2.7367206163,100.0000000000,15.9202271728,1.0000000000,0.8808000000,227.0663033606
1455,100,0,1,100,100,0,0,101,297,100,100,0.0320904216,2.7046301947,100.0000000000,15.9202890303,1.0000000000,0.8808000000,227.0663033606
1456,100,0,1,100,100,0,0,101,297,100,100,0.0314860604,2.6731441344,100.0000000000,15.9202815170,1.0000000000,0.8808000000,227.0663033606
1457,100,0,1,100,100,0,0,101,297,100,100,0.0348369491,2.6383071853,100.0000000000,15.9203586500,1.0000000000,0.8808000000,227.0663033606
1458,100,0,1,100,100,0,0,101,297,100,100,0.0383584526,2.5999487326,100.0000000000,15.9204073032,1.0000000000,0.8808000000,227.0663033606
1459,100,0,1,100,100,0,0,101,297,100,100,0.0313615721,2.5685871605,100.0000000000,15.9202773122,1.0000000000,0.8808000000,227.0663033606
1460,100,0,1,100,100,0,0,101,297,100,100,0.0299545880,2.5386325725,100.0000000000,15.9202239530,1.0000000000,0.8808000000,227.0663033606
1461,100,0,1,100,100,0,0,101,297,100,100,0.0323473589,2.5062852135,100.0000000000,15.9202905052,1.0000000000,0.8808000000,227.0663033606
1462,100,0,1,100,100,0,0,101,297,100,100,0.0326461093,2.4736391042,100.0000000000,15.9202996803,1.0000000000,0.8808000000,227.0663033606
1463,100,0,1,100,100,0,0,101,297,100,100,0.0332801781,2.4403589261,100.0000000000,15.9203342846,1.0000000000,0.8808000000,227.0663033606
1464,100,0,1,100,100,0,0,101,297,100,100,0.0292304543,2.4111284719,100.0000000000,15.9201804871,1.0000000000,0.8808000000,227.0663033606
1465,100,0,1,100,100,0,0,101,297,100,100,0.0357840860,2.3753443859,100.0000000000,15.9203703423,1.0000000000,0.8808000000,227.0663033606
1466,100,0,1,100,100,0,0,101,297,100,100,0.0344235437,2.3409208422,100.0000000000,15.9203457279,1.0000000000,0.8808000000,227.0663033606
1467,100,0,1,100,100,0,0,101,297,100,100,0.0352657398,2.3056551025,100.0000000000,15.9203695989,1.0000000000,0.8808000000,227.0663033606
1468,100,0,1,100,100,0,0,101,297,100,100,0.0388762373,2.2667788652,100.0000000000,15.9204266163,1.0000000000,0.8808000000,227.0663033606
1469,100,0,1,100,100,0,0,101,297,100,100,0.0347983609,2.2319805043,100.0000000000,15.9203601350,1.0000000000,0.8808000000,227.0663033606
1470,100,0,1,100,100,0,0,101,297,100,100,0.0316602223,2.2003202820,100.0000000000,15.9202764748,1.0000000000,0.8808000000,227.0663033606
1471,100,0,1,100,100,0,0,101,297,100,100,0.0326011713,2.1677191107,100.0000000000,15.9203111916,1.0000000000,0.8808000000,227.0663033606
1472,100,0,1,100,100,0,0,101,297,100,100,0.0325922453,2.1351268654,100.0000000000,15.9203173949,1.0000000000,0.8808000000,227.0663033606
1473,100,0,1,100,100,0,0,101,297,100,100,0.0352258135,2.0999010519,100.0000000000,15.9203581559,1.0000000000,0.8808000000,227.0663033606
1474,100,0,1,100,100,0,0,101,297,100,100,0.0289636248,2.0709374271,100.0000000000,15.9201625324,1.0000000000,0.8808000000,227.0663033606
1475,100,0,1,100,100,0,0,101,297,100,100,0.0306046268,2.0403328003,100.0000000000,15.9202335757,1.0000000000,0.8808000000,227.0663033606
1476,100,0,1,100,100,0,0,101,297,100,100,0.0293637288,2.0109690715,100.0000000000,15.9201922885,1.0000000000,0.8808000000,227.0663033606
1477,100,0,1,100,99,1,0,101,297,99,99,0.0297766770,1.9811923945,100.0000000000,15.9194074411,0.9900000000,0.8728000000,226.8560953254
1478,100,0,1,100,99,1,0,101,297,99,99,0.0297071293,1.9514852652,100.0000000000,15.9194239508,0.9900000000,0.8728000000,226.8560953254
1479,100,0,1,100,99,1,0,101,297,99,99,0.0319630259,1.9195222393,100.0000000000,15.9195037299,0.9900000000,0.8728000000,226.8560953254
1480,99,1,1,99,99,0,0,100,295,99,99,0.0348252406,1.8846969987,99.0000000000,15.9195592529,1.0000000000,0.8720000000,227.0642201835
1481,99,1,1,99,99,0,0,100,294,99,99,0.0351007522,1.8495962464,99.0000000000,15.9195647000,1.0000000000,0.8720000000,227.0642201835
1482,99,1,1,99,99,0,0,100,294,99,99,0.0293946234,1.8202016230,99.0000000000,15.9193889582,1.0000000000,0.8720000000,227.0642201835
1483,99,1,1,99,99,0,0,100,294,99,99,0.0341956445,1.7860059785,99.0000000000,15.9195301382,1.0000000000,0.8720000000,227.0642201835
1484,99,1,1,99,99,0,0,100,294,99,99,0.0311894869,1.7548164916,99.0000000000,15.9194672262,1.0000000000,0.8720000000,227.0642201835
1485,99,1,1,99,99,0,0,100,294,99,99,0.0326278352,1.7221886564,99.0000000000,15.9195214470,1.0000000000,0.8720000000,227.0642201835
1486,99,1,1,99,99,0,0,100,294,99,99,0.0291374445,1.6930512120,99.0000000000,15.9193805741,1.0000000000,0.8720000000,227.0642201835
1487,99,1,1,99,99,0,0,100,294,99,99,0.0319837401,1.6610674718,99.0000000000,15.9195036745,1.0000000000,0.8720000000,227.0642201835
1488,99,1,1,99,99,0,0,100,294,99,99,0.0340546894,1.6270127824,99.0000000000,15.9195466513,1.0000000000,0.8720000000,227.0642201835
