Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
46,100,0,7,100,100,0,0,1,107,879,100,100,0.0324564118,48.8679761412,14.2857142857,15.4401738721,1.0000000000,0.8856000000,225.8355916893,0,0
47,100,0,7,100,100,0,0,0,0,0,100,100,0.0217360700,48.8462400713,14.2857142857,15.4401738721,1.0000000000,0.8000000000,250.0000000000,0,0
48,100,0,7,100,100,0,0,0,0,0,100,100,0.0217360700,48.8245040013,14.2857142857,15.4401738721,1.0000000000,0.8000000000,250.0000000000,0,0
49,100,0,7,100,100,0,0,0,0,0,100,100,0.0217360700,48.8027679313,14.2857142857,15.4401738721,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,7,100,100,0,0,0,0,0,100,100,0.0217360700,48.7810318614,14.2857142857,15.4401738721,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,8,100,100,0,0,1,108,976,100,100,0.0331482570,48.7478836044,12.5000000000,15.3601736937,1.0000000000,0.8864000000,225.6317689531,0,0
52,100,0,8,100,100,0,0,0,0,0,100,100,0.0213639406,48.7265196638,12.5000000000,15.3601736937,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,8,100,100,0,0,0,0,0,100,100,0.0213639406,48.7051557232,12.5000000000,15.3601736937,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,8,100,100,0,0,0,0,0,100,100,0.0213639406,48.6837917826,12.5000000000,15.3601736937,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,8,100,100,0,0,0,0,0,100,100,0.0213639406,48.6624278420,12.5000000000,15.3601736937,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,5,100,100,0,0,1,105,685,100,100,0.0300348017,48.6323930403,20.0000000000,15.6001799170,1.0000000000,0.8840000000,226.2443438914,0,0
57,100,0,5,100,100,0,0,0,0,0,100,100,0.0215165881,48.6108764522,20.0000000000,15.6001799170,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,5,100,100,0,0,0,0,0,100,100,0.0215165881,48.5893598640,20.0000000000,15.6001799170,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,5,100,100,0,0,0,0,0,100,100,0.0215165881,48.5678432759,20.0000000000,15.6001799170,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,5,100,100,0,0,0,0,0,100,100,0.0215165881,48.5463266877,20.0000000000,15.6001799170,1.0000000000,0.8000000000,250.0000000000,0,0
61,100,0,7,100,100,0,0,1,107,879,100,100,0.0318728348,48.5144538530,14.2857142857,15.4401620367,1.0000000000,0.8856000000,225.8355916893,0,0
62,100,0,7,100,100,0,0,0,0,0,100,100,0.0212008018,48.4932530512,14.2857142857,15.4401620367,1.0000000000,0.8000000000,250.0000000000,0,0
63,100,0,7,100,100,0,0,0,0,0,100,100,0.0212008018,48.4720522494,14.2857142857,15.4401620367,1.0000000000,0.8000000000,250.0000000000,0,0
64,100,0,7,100,100,0,0,0,0,0,100,100,0.0212008018,48.4508514476,14.2857142857,15.4401620367,1.0000000000,0.8000000000,250.0000000000,0,0
65,100,0,7,100,100,0,0,0,0,0,100,100,0.0212008018,48.4296506459,14.2857142857,15.4401620367,1.0000000000,0.8000000000,250.0000000000,0,0
66,100,0,3,100,100,0,0,1,103,491,100,100,0.0284840434,48.4011666024,33.3333333333,15.7601928015,1.0000000000,0.8824000000,226.6545784225,0,0
67,100,0,3,100,100,0,0,0,0,0,100,100,0.0220867750,48.3790798275,33.3333333333,15.7601928015,1.0000000000,0.8000000000,250.0000000000,0,0
68,100,0,3,100,100,0,0,0,0,0,100,100,0.0220867750,48.3569930525,33.3333333333,15.7601928015,1.0000000000,0.8000000000,250.0000000000,0,0
69,100,0,3,100,100,0,0,0,0,0,100,100,0.0220867750,48.3349062776,33.3333333333,15.7601928015,1.0000000000,0.8000000000,250.0000000000,0,0
70,100,0,3,100,100,0,0,0,0,0,100,100,0.0220867750,48.3128195026,33.3333333333,15.7601928015,1.0000000000,0.8000000000,250.0000000000,0,0
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0291934978,48.2836260049,25.0000000000,15.6801816545,1.0000000000,0.8832000000,226.4492753623,0,0
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0217401684,48.2618858365,25.0000000000,15.6801816545,1.0000000000,0.8000000000,250.0000000000,0,0
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0217401684,48.2401456680,25.0000000000,15.6801816545,1.0000000000,0.8000000000,250.0000000000,0,0
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0217401684,48.2184054996,25.0000000000,15.6801816545,1.0000000000,0.8000000000,250.0000000000,0,0
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0217401684,48.1966653312,25.0000000000,15.6801816545,1.0000000000,0.8000000000,250.0000000000,0,0
76,100,0,2,100,100,0,0,1,102,394,100,100,0.0305786587,48.1660866725,50.0000000000,15.8402661744,1.0000000000,0.8816000000,226.8602540835,0,0
77,100,0,2,100,100,0,0,0,0,0,100,100,0.0249642421,48.1411224304,50.0000000000,15.8402661744,1.0000000000,0.8000000000,250.0000000000,0,0
78,100,0,2,100,100,0,0,0,0,0,100,100,0.0249642421,48.1161581882,50.0000000000,15.8402661744,1.0000000000,0.8000000000,250.0000000000,0,0
79,100,0,2,100,100,0,0,0,0,0,100,100,0.0249642421,48.0911939461,50.0000000000,15.8402661744,1.0000000000,0.8000000000,250.0000000000,0,0
80,100,0,2,100,100,0,0,0,0,0,100,100,0.0249642421,48.0662297040,50.0000000000,15.8402661744,1.0000000000,0.8000000000,250.0000000000,0,0
81,100,0,3,100,100,0,0,1,103,491,100,100,0.0296822051,48.0365474989,33.3333333333,15.7602119459,1.0000000000,0.8824000000,226.6545784225,0,0
82,100,0,3,100,100,0,0,0,0,0,100,100,0.0231693094,48.0133781895,33.3333333333,15.7602119459,1.0000000000,0.8000000000,250.0000000000,0,0
83,100,0,3,100,100,0,0,0,0,0,100,100,0.0231693094,47.9902088801,33.3333333333,15.7602119459,1.0000000000,0.8000000000,250.0000000000,0,0
84,100,0,3,100,100,0,0,0,0,0,100,100,0.0231693094,47.9670395707,33.3333333333,15.7602119459,1.0000000000,0.8000000000,250.0000000000,0,0
85,100,0,3,100,100,0,0,0,0,0,100,100,0.0231693094,47.9438702613,33.3333333333,15.7602119459,1.0000000000,0.8000000000,250.0000000000,0,0
86,100,0,2,100,100,0,0,1,102,394,100,100,0.0292006152,47.9146696461,50.0000000000,15.8402255326,1.0000000000,0.8816000000,226.8602540835,0,0
87,100,0,2,100,100,0,0,0,0,0,100,100,0.0237294416,47.8909402045,50.0000000000,15.8402255326,1.0000000000,0.8000000000,250.0000000000,0,0
88,100,0,2,100,100,0,0,0,0,0,100,100,0.0237294416,47.8672107629,50.0000000000,15.8402255326,1.0000000000,0.8000000000,250.0000000000,0,0
89,100,0,2,100,100,0,0,0,0,0,100,100,0.0237294416,47.8434813212,50.0000000000,15.8402255326,1.0000000000,0.8000000000,250.0000000000,0,0
90,100,0,2,100,100,0,0,0,0,0,100,100,0.0237294416,47.8197518796,50.0000000000,15.8402255326,1.0000000000,0.8000000000,250.0000000000,0,0
91,100,0,2,100,100,0,0,1,102,394,100,100,0.0339284574,47.7858234222,50.0000000000,15.8403709551,1.0000000000,0.8816000000,226.8602540835,0,0
92,100,0,2,100,100,0,0,0,0,0,100,100,0.0280057662,47.7578176560,50.0000000000,15.8403709551,1.0000000000,0.8000000000,250.0000000000,0,0
93,100,0,2,100,100,0,0,0,0,0,100,100,0.0280057662,47.7298118898,50.0000000000,15.8403709551,1.0000000000,0.8000000000,250.0000000000,0,0
