Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
452,73,27,12,73,73,0,0,6,511,3530,73,73,0.0557092911,7.3292371395,6.0833333333,14.6850989234,1.0000000000,0.9928000000,147.0588235294
453,73,27,12,73,73,0,0,6,511,3530,73,73,0.0556817815,7.2735553580,6.0833333333,14.6851013160,1.0000000000,0.9928000000,147.0588235294
454,73,27,12,73,73,0,0,6,511,3530,73,73,0.0557808105,7.2177745475,6.0833333333,14.6851098678,1.0000000000,0.9928000000,147.0588235294
455,73,27,12,73,73,0,0,6,511,3530,73,73,0.0557260529,7.1620484947,6.0833333333,14.6851053176,1.0000000000,0.9928000000,147.0588235294
456,73,27,11,73,73,0,0,6,511,3532,73,73,0.0558251698,7.1062233249,6.6363636364,14.7946959756,1.0000000000,0.9928000000,147.0588235294
457,73,27,11,73,73,0,0,6,511,3532,73,73,0.0558372358,7.0503860891,6.6363636364,14.7946951948,1.0000000000,0.9928000000,147.0588235294
458,73,27,12,73,73,0,0,6,511,3530,73,73,0.0557069894,6.9946790997,6.0833333333,14.6851009488,1.0000000000,0.9928000000,147.0588235294
459,73,27,11,73,73,0,0,6,511,3532,73,73,0.0558085711,6.9388705286,6.6363636364,14.7946877865,1.0000000000,0.9928000000,147.0588235294
460,73,27,12,73,73,0,0,6,511,3530,73,73,0.0557576258,6.8831129028,6.0833333333,14.6851038377,1.0000000000,0.9928000000,147.0588235294
461,72,28,11,73,64,9,0,6,511,3532,64,64,0.0539552634,6.8291576394,5.9090909091,14.7501660674,0.8767123288,0.9208000000,139.0095569070
462,71,29,11,71,71,0,0,6,503,3342,71,71,0.0536039799,6.7755536595,6.4545454545,14.7607387667,1.0000000000,0.9704000000,146.3314097279
463,71,29,11,71,71,0,0,6,497,3264,71,71,0.0526229224,6.7229307371,6.4545454545,14.7607358995,1.0000000000,0.9656000000,147.0588235294
464,70,30,11,70,70,0,0,6,496,3202,70,70,0.0522715244,6.6706592126,6.3636363636,14.7430309152,1.0000000000,0.9568000000,146.3210702341
465,69,31,11,69,62,7,7,6,482,3078,62,62,0.0489983058,6.6216609068,5.6363636364,14.5808152750,0.8985507246,0.8816000000,140.6533575318
466,67,33,11,67,67,0,0,6,481,2926,67,67,0.0491558081,6.5725050987,6.0909090909,14.6867390284,1.0000000000,0.9208000000,145.5256298871
467,66,34,10,66,66,0,0,6,468,2746,66,66,0.0465137323,6.5259913664,6.6000000000,14.7880571581,1.0000000000,0.9024000000,146.2765957447
468,66,34,11,66,66,0,0,6,462,2678,66,66,0.0452171264,6.4807742400,6.0000000000,14.6668342199,1.0000000000,0.8976000000,147.0588235294
469,65,35,11,65,65,0,0,6,461,2622,65,65,0.0446743085,6.4360999315,5.9090909091,14.6463340438,1.0000000000,0.8888000000,146.2646264626
470,65,35,11,65,65,0,0,6,455,2568,65,65,0.0438801555,6.3922197760,5.9090909091,14.6463285315,1.0000000000,0.8840000000,147.0588235294
471,65,35,12,65,65,0,0,6,455,2566,65,65,0.0437901560,6.3484296200,5.4166666667,14.5232492924,1.0000000000,0.8840000000,147.0588235294
472,65,35,11,65,65,0,0,6,455,2568,65,65,0.0439056383,6.3045239817,5.9090909091,14.6463309923,1.0000000000,0.8840000000,147.0588235294
473,65,35,12,65,65,0,0,6,455,2566,65,65,0.0438473829,6.2606765988,5.4166666667,14.5232582666,1.0000000000,0.8840000000,147.0588235294
474,65,35,12,65,65,0,0,6,455,2566,65,65,0.0437992137,6.2168773851,5.4166666667,14.5232554278,1.0000000000,0.8840000000,147.0588235294
475,64,36,11,64,64,0,0,6,454,2512,64,64,0.0431668196,6.1737105655,5.8181818182,14.6251700244,1.0000000000,0.8752000000,146.2522851920
476,64,36,11,64,64,0,0,6,448,2458,64,64,0.0424362551,6.1312743104,5.8181818182,14.6251690251,1.0000000000,0.8704000000,147.0588235294
477,63,37,12,63,63,0,0,6,447,2406,63,63,0.0416968594,6.0895774510,5.2500000000,14.4763617287,1.0000000000,0.8616000000,146.2395543175
478,63,37,12,63,63,0,0,6,441,2358,63,63,0.0411033768,6.0484740742,5.2500000000,14.4763647047,1.0000000000,0.8568000000,147.0588235294
479,63,37,12,63,63,0,0,6,441,2358,63,63,0.0411132201,6.0073608541,5.2500000000,14.4763662433,1.0000000000,0.8568000000,147.0588235294
480,63,37,12,63,63,0,0,6,441,2358,63,63,0.0411062914,5.9662545626,5.2500000000,14.4763643902,1.0000000000,0.8568000000,147.0588235294
481,63,37,11,63,63,0,0,6,441,2360,63,63,0.0411904190,5.9250641437,5.7272727273,14.6033466881,1.0000000000,0.8568000000,147.0588235294
482,62,38,11,62,62,0,0,6,440,2328,62,62,0.0407583826,5.8843057610,5.6363636364,14.5808202426,1.0000000000,0.8480000000,146.2264150943
483,62,38,12,62,62,0,0,6,434,2296,62,62,0.0401976371,5.8441081239,5.1666666667,14.4517857484,1.0000000000,0.8432000000,147.0588235294
484,62,38,11,62,59,3,2,6,432,2294,59,59,0.0396099944,5.8044981295,5.4545454545,14.5086521162,0.9516129032,0.8176000000,144.3248532290
485,60,40,11,60,60,0,0,6,432,2234,60,60,0.0393670416,5.7651310879,5.4545454545,14.5335030187,1.0000000000,0.8256000000,145.3488372093
486,60,40,11,60,60,0,0,6,420,2186,60,60,0.0385854329,5.7265456550,5.4545454545,14.5335090014,1.0000000000,0.8160000000,147.0588235294
487,60,40,11,60,60,0,0,6,420,2186,60,60,0.0386055240,5.6879401310,5.4545454545,14.5335107454,1.0000000000,0.8160000000,147.0588235294
488,60,40,11,60,60,0,0,6,420,2186,60,60,0.0385796318,5.6493604992,5.4545454545,14.5335075990,1.0000000000,0.8160000000,147.0588235294
489,60,40,11,60,60,0,0,6,420,2186,60,60,0.0386226464,5.6107378529,5.4545454545,14.5335152523,1.0000000000,0.8160000000,147.0588235294
490,60,40,11,60,60,0,0,6,420,2186,60,60,0.0385975048,5.5721403481,5.4545454545,14.5335076678,1.0000000000,0.8160000000,147.0588235294
491,60,40,11,60,60,0,0,6,420,2186,60,60,0.0386017678,5.5335385803,5.4545454545,14.5335124316,1.0000000000,0.8160000000,147.0588235294
492,60,40,11,60,60,0,0,6,420,2186,60,60,0.0386028554,5.4949357249,5.4545454545,14.5335109897,1.0000000000,0.8160000000,147.0588235294
493,59,41,12,59,59,0,0,6,419,2146,59,59,0.0382765892,5.4566591357,4.9166666667,14.3730651177,1.0000000000,0.8072000000,146.1843409316
494,59,41,11,59,59,0,0,6,413,2112,59,59,0.0376121472,5.4190469885,5.3636363636,14.5086591172,1.0000000000,0.8024000000,147.0588235294
495,58,42,11,58,58,0,0,6,406,2062,58,58,0.0368373635,5.3822096250,5.2727272727,14.4829390733,1.0000000000,0.7888000000,147.0588235294
496,58,42,11,58,58,0,0,6,406,2062,58,58,0.0367562341,5.3454533909,5.2727272727,14.4829331781,1.0000000000,0.7888000000,147.0588235294
497,58,42,11,58,58,0,0,6,406,2062,58,58,0.0368634654,5.3085899256,5.2727272727,14.4829483673,1.0000000000,0.7888000000,147.0588235294
498,57,43,12,58,52,6,0,6,406,2060,56,56,0.0363110116,5.2722789140,4.4166666667,14.3078686994,0.8965517241,0.7728000000,134.5755693582
499,57,43,11,57,57,0,0,6,399,1988,57,57,0.0357156826,5.2365632314,5.1818181818,14.4563118991,1.0000000000,0.7752000000,147.0588235294
500,56,44,10,56,52,4,4,6,396,1981,52,52,0.0346623559,5.2019008755,5.2000000000,14.4617193546,0.9285714286,0.7328000000,141.9213973799
501,56,44,11,56,56,0,0,6,392,1938,56,56,0.0349130979,5.1669877775,5.0909090909,14.4287411433,1.0000000000,0.7616000000,147.0588235294
502,56,44,11,56,56,0,0,6,392,1938,56,56,0.0349308312,5.1320569463,5.0909090909,14.4287436041,1.0000000000,0.7616000000,147.0588235294
503,56,44,10,56,56,0,0,6,392,1940,56,56,0.0350244902,5.0970324561,5.6000000000,14.5716043459,1.0000000000,0.7616000000,147.0588235294
504,56,44,11,56,56,0,0,6,392,1938,56,56,0.0349825787,5.0620498774,5.0909090909,14.4287508888,1.0000000000,0.7616000000,147.0588235294
505,56,44,12,56,56,0,0,6,392,1936,56,56,0.0348664102,5.0271834672,4.6666666667,14.2858901947,1.0000000000,0.7616000000,147.0588235294
506,56,44,11,56,56,0,0,6,392,1938,56,56,0.0349271520,4.9922563152,5.0909090909,14.4287417511,1.0000000000,0.7616000000,147.0588235294
507,56,44,11,56,56,0,0,6,392,1938,56,56,0.0349467666,4.9573095485,5.0909090909,14.4287472330,1.0000000000,0.7616000000,147.0588235294
508,55,45,11,55,55,0,0,6,391,1882,55,55,0.0345515717,4.9227579769,5.0000000000,14.4001801223,1.0000000000,0.7528000000,146.1211477152
509,55,45,11,55,55,0,0,6,385,1828,55,55,0.0335887669,4.8891692099,5.0000000000,14.4001806381,1.0000000000,0.7480000000,147.0588235294
510,54,46,10,55,49,6,0,6,385,1830,54,54,0.0336096900,4.8555595199,5.0000000000,14.5307875333,0.8909090909,0.7400000000,132.4324324324
511,54,46,11,54,54,0,0,6,378,1754,54,54,0.0325317321,4.8230277879,4.9090909091,14.3705461769,1.0000000000,0.7344000000,147.0588235294
512,54,46,11,54,54,0,0,6,378,1754,54,54,0.0325400259,4.7904877620,4.9090909091,14.3705476574,1.0000000000,0.7344000000,147.0588235294
513,54,46,11,54,54,0,0,6,378,1754,54,54,0.0325464799,4.7579412821,4.9090909091,14.3705480029,1.0000000000,0.7344000000,147.0588235294
514,54,46,11,54,54,0,0,6,378,1754,54,54,0.0325806793,4.7253606027,4.9090909091,14.3705510996,1.0000000000,0.7344000000,147.0588235294
515,54,46,12,54,54,0,0,6,378,1752,54,54,0.0324471936,4.6929134092,4.5000000000,14.2223986092,1.0000000000,0.7344000000,147.0588235294
516,53,47,11,54,50,4,0,6,378,1754,53,53,0.0323241692,4.6605892400,4.6363636364,14.4001648432,0.9259259259,0.7264000000,137.6651982379
517,53,47,11,53,53,0,0,6,371,1716,53,53,0.0318234871,4.6287657528,4.8181818182,14.3397890638,1.0000000000,0.7208000000,147.0588235294
518,53,47,10,53,51,2,2,6,369,1714,51,51,0.0315086179,4.5972571350,5.1000000000,14.4315537643,0.9622641509,0.7032000000,145.0511945392
519,53,47,11,53,53,0,0,6,371,1716,53,53,0.0319019154,4.5653552195,4.8181818182,14.3398020919,1.0000000000,0.7208000000,147.0588235294
520,53,47,10,53,53,0,0,6,371,1718,53,53,0.0320071452,4.5333480744,5.3000000000,14.4907469949,1.0000000000,0.7208000000,147.0588235294
521,53,47,12,53,53,0,0,6,371,1714,53,53,0.0318051857,4.5015428887,4.4166666667,14.1888586153,1.0000000000,0.7208000000,147.0588235294
522,53,47,11,53,53,0,0,6,371,1716,53,53,0.0318763363,4.4696665523,4.8181818182,14.3397989168,1.0000000000,0.7208000000,147.0588235294
523,52,48,10,52,50,2,2,6,368,1700,50,50,0.0312069680,4.4384595843,5.0000000000,14.4001770151,0.9615384615,0.6944000000,144.0092165899
524,52,48,11,52,52,0,0,6,364,1690,52,52,0.0313280310,4.4071315534,4.7272727273,14.3078701699,1.0000000000,0.7072000000,147.0588235294
525,51,49,11,51,51,0,0,6,363,1670,51,51,0.0309741986,4.3761573548,4.6363636364,14.2746803870,1.0000000000,0.6984000000,146.0481099656
526,51,49,11,51,51,0,0,6,357,1652,51,51,0.0306483372,4.3455090175,4.6363636364,14.2746855044,1.0000000000,0.6936000000,147.0588235294
527,51,49,10,51,51,0,0,6,357,1654,51,51,0.0307493571,4.3147596605,5.1000000000,14.4315507281,1.0000000000,0.6936000000,147.0588235294
528,51,49,11,51,51,0,0,6,357,1652,51,51,0.0305916364,4.2841680240,4.6363636364,14.2746757243,1.0000000000,0.6936000000,147.0588235294
529,51,49,11,51,51,0,0,6,357,1652,51,51,0.0306571617,4.2535108624,4.6363636364,14.2746831009,1.0000000000,0.6936000000,147.0588235294
530,50,50,10,50,50,0,0,6,349,1628,50,50,0.0302234193,4.2232874430,5.0000000000,14.4001823533,1.0000000000,0.6792000000,147.2320376914
531,50,50,10,50,50,0,0,6,350,1628,50,50,0.0301861001,4.1931013429,5.0000000000,14.4001769419,1.0000000000,0.6800000000,147.0588235294
532,49,51,10,50,48,2,0,6,349,1628,49,49,0.0301358751,4.1629654678,4.9000000000,14.5001835062,0.9600000000,0.6712000000,143.0274135876
533,48,52,10,49,38,11,0,6,341,1614,44,44,0.0286393471,4.1343261207,3.9000000000,14.1054278448,0.7755102041,0.6248000000,121.6389244558
534,48,52,12,48,48,0,0,6,334,1488,48,48,0.0280649671,4.1062611536,4.0000000000,14.0001788242,1.0000000000,0.6512000000,147.4201474201
535,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281656514,4.0780955022,4.3636363636,14.1668462690,1.0000000000,0.6512000000,147.4201474201
536,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281179662,4.0499775361,4.3636363636,14.1668413621,1.0000000000,0.6512000000,147.4201474201
537,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281380321,4.0218395040,4.3636363636,14.1668445776,1.0000000000,0.6512000000,147.4201474201
538,48,52,12,48,48,0,0,6,334,1488,48,48,0.0280509380,3.9937885660,4.0000000000,14.0001763646,1.0000000000,0.6512000000,147.4201474201
539,48,52,12,48,48,0,0,6,334,1488,48,48,0.0280683396,3.9657202264,4.0000000000,14.0001744892,1.0000000000,0.6512000000,147.4201474201
540,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281609554,3.9375592710,4.3636363636,14.1668470855,1.0000000000,0.6512000000,147.4201474201
541,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281710358,3.9093882353,4.3636363636,14.1668489230,1.0000000000,0.6512000000,147.4201474201
542,48,52,10,48,48,0,0,6,335,1492,48,48,0.0282688161,3.8811194192,4.8000000000,14.3335107943,1.0000000000,0.6520000000,147.2392638037
543,48,52,11,48,48,0,0,6,335,1490,48,48,0.0281751510,3.8529442682,4.3636363636,14.1668432282,1.0000000000,0.6520000000,147.2392638037
544,48,52,10,48,48,0,0,6,335,1492,48,48,0.0282856660,3.8246586022,4.8000000000,14.3335155227,1.0000000000,0.6520000000,147.2392638037
545,48,52,10,48,48,0,0,6,335,1492,48,48,0.0282566510,3.7964019513,4.8000000000,14.3335118184,1.0000000000,0.6520000000,147.2392638037
546,48,52,11,48,48,0,0,6,335,1490,48,48,0.0282071826,3.7681947686,4.3636363636,14.1668510210,1.0000000000,0.6520000000,147.2392638037
547,48,52,10,48,48,0,0,6,335,1492,48,48,0.0282738465,3.7399209221,4.8000000000,14.3335143247,1.0000000000,0.6520000000,147.2392638037
548,48,52,11,48,48,0,0,6,334,1490,48,48,0.0281488852,3.7117720369,4.3636363636,14.1668434801,1.0000000000,0.6512000000,147.4201474201
549,48,52,11,48,48,0,0,6,335,1490,48,48,0.0281976705,3.6835743665,4.3636363636,14.1668479516,1.0000000000,0.6520000000,147.2392638037
550,48,52,10,48,48,0,0,6,335,1492,48,48,0.0282998985,3.6552744680,4.8000000000,14.3335203050,1.0000000000,0.6520000000,147.2392638037
