Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
76,100,0,12,41,41,0,0,112,1364,49,49,0.0429951312,52.7183641759,8.3333333333,30.4391868780,1.0000000000,0.8736000000,187.7289377289
77,100,0,24,41,41,0,0,116,2528,54,54,0.0565920570,52.6617721189,4.1666666667,29.6587048484,1.0000000000,0.9568000000,171.4046822742
78,100,0,9,38,38,0,0,108,1073,43,43,0.0371052555,52.6246668635,11.1111111111,30.7369937686,1.0000000000,0.7744000000,196.2809917355
79,100,0,25,40,40,0,0,120,2625,48,48,0.0546040521,52.5700628113,4.0000000000,27.2001463559,1.0000000000,0.8640000000,185.1851851852
80,100,0,5,35,35,0,0,105,685,39,39,0.0322945469,52.5377682644,20.0000000000,31.5430780263,1.0000000000,0.7080000000,197.7401129944
81,100,0,20,33,33,0,0,117,2140,42,42,0.0473730895,52.4903951749,5.0000000000,30.5456397928,1.0000000000,0.7656000000,172.4137931034
82,100,0,11,39,39,0,0,110,1267,42,42,0.0396380820,52.4507570929,9.0909090909,29.1283941357,1.0000000000,0.7600000000,205.2631578947
83,100,0,14,39,39,0,0,113,1558,44,44,0.0428408336,52.4079162593,7.1428571429,29.5386308507,1.0000000000,0.7944000000,196.3746223565
84,100,0,18,40,40,0,0,115,1946,46,46,0.0474027422,52.3605135171,5.5555555556,28.4001650151,1.0000000000,0.8280000000,193.2367149758
85,100,0,13,37,37,0,0,113,1461,43,43,0.0407613980,52.3197521191,7.6923076923,29.4055838173,1.0000000000,0.7784000000,190.1336073998
86,100,0,13,41,41,0,0,112,1461,47,47,0.0436691927,52.2760829264,7.6923076923,30.0489639678,1.0000000000,0.8416000000,194.8669201521
87,100,0,12,40,40,0,0,111,1364,46,46,0.0418288435,52.2342540829,8.3333333333,30.4001798577,1.0000000000,0.8248000000,193.9864209505
88,100,0,17,35,35,0,0,117,1849,45,45,0.0456953164,52.1885587666,5.8823529412,30.6287562453,1.0000000000,0.8136000000,172.0747295969
89,100,0,14,42,42,0,0,114,1558,51,51,0.0459943213,52.1425644453,7.1428571429,30.0954144250,1.0000000000,0.9072000000,185.1851851852
90,100,0,10,37,37,0,0,110,1170,43,43,0.0382219956,52.1043424496,10.0000000000,30.2704612714,1.0000000000,0.7760000000,190.7216494845
91,100,0,19,32,32,0,0,117,2043,41,41,0.0450331584,52.0593092913,5.2631578947,29.0001642884,1.0000000000,0.7496000000,170.7577374600
92,100,0,13,39,39,0,0,113,1461,47,47,0.0433630801,52.0159462112,7.6923076923,30.7694190755,1.0000000000,0.8424000000,185.1851851852
93,100,0,23,33,33,0,0,120,2431,41,41,0.0492550748,51.9666911364,4.3478260870,27.6365274399,1.0000000000,0.7520000000,175.5319148936
94,100,0,10,29,29,0,0,110,1170,36,36,0.0340291282,51.9326620082,10.0000000000,30.8967539320,1.0000000000,0.6640000000,174.6987951807
95,100,0,17,35,35,0,0,115,1849,43,43,0.0445206652,51.8881413429,5.8823529412,29.7144562513,1.0000000000,0.7800000000,179.4871794872
96,100,0,12,34,34,0,0,111,1364,42,42,0.0390270351,51.8491143078,8.3333333333,31.0590055206,1.0000000000,0.7608000000,178.7592008412
97,100,0,22,35,35,0,0,118,2334,42,42,0.0490485588,51.8000657491,4.5454545455,27.8858721800,1.0000000000,0.7664000000,182.6722338205
98,100,0,11,26,26,0,0,111,1267,32,32,0.0324297876,51.7676359614,9.0909090909,30.1540366369,1.0000000000,0.6008000000,173.1025299601
99,100,0,23,32,32,0,0,121,2431,43,43,0.0491865149,51.7184494465,4.3478260870,28.5001432061,1.0000000000,0.7848000000,163.0988786952
100,100,0,11,24,24,0,0,110,1267,30,30,0.0314039348,51.6870455117,9.0909090909,30.6668474142,1.0000000000,0.5680000000,169.0140845070
101,100,0,23,29,29,0,0,119,2431,35,35,0.0464162876,51.6406292241,4.3478260870,28.6898033694,1.0000000000,0.6552000000,177.0451770452
102,100,0,10,27,27,0,0,109,1170,34,34,0.0323719051,51.6082573190,10.0000000000,31.4075869223,1.0000000000,0.6312000000,171.1026615970
103,100,0,19,34,34,0,0,119,2043,43,43,0.0462789010,51.5619784180,5.2631578947,29.1766420447,1.0000000000,0.7832000000,173.6465781410
104,100,0,12,30,30,0,0,112,1364,37,37,0.0363010079,51.5256774102,8.3333333333,29.8668576982,1.0000000000,0.6816000000,176.0563380282
105,100,0,19,26,26,0,0,119,2043,34,34,0.0411116898,51.4845657204,5.2631578947,28.9232267786,1.0000000000,0.6392000000,162.7033792240
106,100,0,10,32,32,0,0,110,1170,36,36,0.0352375483,51.4493281721,10.0000000000,30.5002119057,1.0000000000,0.6640000000,192.7710843373
107,100,0,23,26,26,0,0,117,2431,34,34,0.0458610917,51.4034670804,4.3478260870,28.9232705156,1.0000000000,0.6376000000,163.1116687578
108,100,0,15,21,21,0,0,111,1655,25,25,0.0324909849,51.3709760956,6.6666666667,28.1906304413,1.0000000000,0.4888000000,171.8494271686
109,100,0,15,31,31,0,0,114,1655,37,37,0.0395353837,51.3314407119,6.6666666667,29.9356554772,1.0000000000,0.6832000000,181.4988290398
110,100,0,11,23,23,0,0,110,1267,30,30,0.0304800830,51.3009606288,9.0909090909,29.2175758222,1.0000000000,0.5680000000,161.9718309859
111,100,0,16,27,27,0,0,115,1752,34,34,0.0386786226,51.2622820062,6.2500000000,30.2224055709,1.0000000000,0.6360000000,169.8113207547
112,100,0,15,24,24,0,0,114,1655,31,31,0.0353422491,51.2269397571,6.6666666667,29.3335025299,1.0000000000,0.5872000000,163.4877384196
113,100,0,21,23,23,0,0,117,2237,29,29,0.0408401762,51.1860995809,4.7619047619,27.8262579092,1.0000000000,0.5576000000,164.9928263989
