Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
281,100,0,9,100,100,0,0,6,700,8522,100,100,0.1138427534,23.9259414715,11.1111111111,15.2801769308,1.0000000000,1.3600000000,147.0588235294
282,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135000888,23.8124413827,8.3333333333,15.0401667698,1.0000000000,1.3600000000,147.0588235294
283,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134122654,23.6990291173,8.3333333333,15.0401581443,1.0000000000,1.3600000000,147.0588235294
284,100,0,10,100,100,0,0,6,700,8520,100,100,0.1136519496,23.5853771677,10.0000000000,15.2001695942,1.0000000000,1.3600000000,147.0588235294
285,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135632769,23.4718138908,9.0909090909,15.1201679867,1.0000000000,1.3600000000,147.0588235294
286,100,0,12,100,100,0,0,6,700,8516,100,100,0.1136153588,23.3581985320,8.3333333333,15.0401726375,1.0000000000,1.3600000000,147.0588235294
287,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135259951,23.2446725369,8.3333333333,15.0401653229,1.0000000000,1.3600000000,147.0588235294
288,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136276185,23.1310449184,9.0909090909,15.1201665762,1.0000000000,1.3600000000,147.0588235294
289,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135555421,23.0174893763,9.0909090909,15.1201682241,1.0000000000,1.3600000000,147.0588235294
290,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136113565,22.9038780198,9.0909090909,15.1201699643,1.0000000000,1.3600000000,147.0588235294
291,100,0,11,100,100,0,0,6,700,8518,100,100,0.1134948834,22.7903831364,9.0909090909,15.1201600056,1.0000000000,1.3600000000,147.0588235294
292,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134509650,22.6769321714,8.3333333333,15.0401659598,1.0000000000,1.3600000000,147.0588235294
293,100,0,10,100,100,0,0,6,700,8520,100,100,0.1137422657,22.5631899058,10.0000000000,15.2001696979,1.0000000000,1.3600000000,147.0588235294
294,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135524940,22.4496374117,9.0909090909,15.1201639395,1.0000000000,1.3600000000,147.0588235294
295,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135502147,22.3360871970,9.0909090909,15.1201652695,1.0000000000,1.3600000000,147.0588235294
296,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136154875,22.2224717095,9.0909090909,15.1201728493,1.0000000000,1.3600000000,147.0588235294
