Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions,Routing_Repairs,Partial_Promotions,Emergency_Promotions
967,100,0,7,100,100,0,0,0,0,0,100,100,0.0234002689,24.8041216963,14.2857142857,8.0000695123,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
968,100,0,7,100,100,0,0,0,0,0,100,100,0.0234002689,24.7807214274,14.2857142857,8.0000695123,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
969,100,0,7,100,100,0,0,0,0,0,100,100,0.0234002689,24.7573211585,14.2857142857,8.0000695123,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
970,100,0,7,100,100,0,0,0,0,0,100,100,0.0234002689,24.7339208896,14.2857142857,8.0000695123,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
971,100,0,3,100,100,0,0,1,103,491,100,100,0.0323993799,24.7015215097,33.3333333333,8.0001296432,1.0000000000,0.8824000000,226.6545784225,0,0,0,0,0
972,100,0,3,100,100,0,0,0,0,0,100,100,0.0257203318,24.6758011779,33.3333333333,8.0001296432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
973,100,0,3,100,100,0,0,0,0,0,100,100,0.0257203318,24.6500808462,33.3333333333,8.0001296432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
974,100,0,3,100,100,0,0,0,0,0,100,100,0.0257203318,24.6243605144,33.3333333333,8.0001296432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
975,100,0,3,100,100,0,0,0,0,0,100,100,0.0257203318,24.5986401826,33.3333333333,8.0001296432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
976,100,0,7,100,100,0,0,1,106,879,100,100,0.0349459349,24.5636942477,14.2857142857,8.0000900413,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,0
