protocol,bs,scenario,FND,HND,LND,PDR_%
pegasis,far,s11_p256_aes,1014,1560,1952,98.84
pegasis,far,s12_ecc160_ecdsa,774,974,1016,96.49
pegasis,far,s13_ecc160_swaes,804,1057,1397,98.58
pegasis,far,s14_x25519_aes,1118,1716,2149,98.87
pegasis,far,s15_rsa3072_aes,893,1374,1721,98.86
pegasis,far,s16_rsa1024_aes,1199,1843,2302,98.97
pegasis,far,s1_aes_only,1237,1900,2384,99.11
pegasis,far,s2_hybrid_rsa,894,1195,1259,97.35
pegasis,far,s3_hybrid_ecc,796,1021,1076,96.81
pegasis,far,s4_full_ecc,11,12,22,83.14
pegasis,far,s5_full_rsa,1,1,13,3.38
pegasis,far,s6_once_rsa,1199,1843,2302,98.97
pegasis,far,s7_once_ecc,1182,1814,2272,99.11
pegasis,far,s8_bs_ecc,796,1021,1075,96.81
pegasis,far,s9_bs_rsa,674,806,855,95.94
v8,center,s0_none,2501,2589,2631,99.64
v8,center,s10_ecc160_aes,1981,2061,2101,99.72
v8,center,s11_p256_aes,1686,1791,1821,99.69
v8,center,s12_ecc160_ecdsa,991,1126,1166,98.92
v8,center,s13_ecc160_swaes,1126,1226,1256,99.54
v8,center,s14_x25519_aes,1856,1958,1986,99.71
v8,center,s15_rsa3072_aes,1491,1583,1626,99.64
v8,center,s16_rsa1024_aes,1996,2092,2126,99.72
v8,center,s1_aes_only,2096,2176,2221,99.72
v8,center,s2_hybrid_rsa,1336,1466,1561,96.21
v8,center,s3_hybrid_ecc,1121,1271,1381,95.17
v8,center,s4_full_ecc,7,101,216,13.31
v8,center,s5_full_rsa,49,216,341,6.01
v8,center,s6_once_rsa,2061,2131,2166,99.62
v8,center,s7_once_ecc,2001,2086,2126,99.69
v8,center,s8_bs_ecc,736,946,1026,96.26
v8,center,s9_bs_rsa,371,756,836,96.25
v8chain,far,s0_none,1671,1851,1906,99.36
v8chain,far,s10_ecc160_aes,1336,1501,1561,99.51
v8chain,far,s11_p256_aes,1096,1296,1351,99.17
v8chain,far,s12_ecc160_ecdsa,781,926,1001,96.97
v8chain,far,s13_ecc160_swaes,756,911,956,99.17
v8chain,far,s14_x25519_aes,1231,1431,1476,99.43
v8chain,far,s15_rsa3072_aes,1016,1136,1181,99.46
v8chain,far,s16_rsa1024_aes,1336,1526,1586,99.61
v8chain,far,s1_aes_only,1356,1591,1641,99.52
v8chain,far,s2_hybrid_rsa,956,1151,1276,96.55
v8chain,far,s3_hybrid_ecc,866,1021,1141,95.66
v8chain,far,s4_full_ecc,6,71,171,14.14
v8chain,far,s5_full_rsa,203,291,376,4.09
v8chain,far,s6_once_rsa,1331,1546,1591,99.35
v8chain,far,s7_once_ecc,1336,1526,1581,99.38
v8chain,far,s8_bs_ecc,716,926,1021,96.01
v8chain,far,s9_bs_rsa,336,741,846,95.34
