Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
109,100,0,52,0,100,100,0,100,100,0.0353571624,45.4002818859,23.6801442241,1.0000000000,1.6000000000,250.0000000000
110,100,0,2,0,100,100,0,100,100,0.0492335406,45.3510483452,31.6802900949,1.0000000000,1.6000000000,250.0000000000
111,100,0,9,0,100,100,0,100,100,0.0422461504,45.3088021948,30.5601672499,1.0000000000,1.6000000000,250.0000000000
112,100,0,10,0,100,100,0,100,100,0.0417116614,45.2670905334,30.4001717723,1.0000000000,1.6000000000,250.0000000000
113,100,0,7,0,100,100,0,100,100,0.0435284239,45.2235621095,30.8801903924,1.0000000000,1.6000000000,250.0000000000
114,100,0,7,0,100,100,0,100,100,0.0435566808,45.1800054286,30.8801702683,1.0000000000,1.6000000000,250.0000000000
115,100,0,9,0,100,100,0,100,100,0.0423984098,45.1376070188,30.5601719840,1.0000000000,1.6000000000,250.0000000000
116,100,0,16,0,100,100,0,100,100,0.0409912754,45.0966157434,29.4401615402,1.0000000000,1.6000000000,250.0000000000
117,100,0,15,0,100,100,0,100,100,0.0408565158,45.0557592276,29.6001798153,1.0000000000,1.6000000000,250.0000000000
118,100,0,15,0,100,100,0,100,100,0.0411901738,45.0145690537,29.6001610632,1.0000000000,1.6000000000,250.0000000000
119,100,0,25,0,100,100,0,100,100,0.0392734779,44.9752955758,28.0001556901,1.0000000000,1.6000000000,250.0000000000
120,100,0,44,0,100,100,0,100,100,0.0365340485,44.9387615273,24.9601462488,1.0000000000,1.6000000000,250.0000000000
121,100,0,5,0,100,100,0,100,100,0.0443395631,44.8944219642,31.2001898180,1.0000000000,1.6000000000,250.0000000000
122,100,0,8,0,100,100,0,100,100,0.0434280007,44.8509939635,30.7201987279,1.0000000000,1.6000000000,250.0000000000
123,100,0,8,0,100,100,0,100,100,0.0432762546,44.8077177090,30.7201883667,1.0000000000,1.6000000000,250.0000000000
124,100,0,6,0,100,100,0,100,100,0.0436903282,44.7640273807,31.0401822529,1.0000000000,1.6000000000,250.0000000000
125,100,0,5,0,100,100,0,100,100,0.0441798219,44.7198475588,31.2001846261,1.0000000000,1.6000000000,250.0000000000
126,100,0,13,0,100,100,0,100,100,0.0416196634,44.6782278954,29.9201720197,1.0000000000,1.6000000000,250.0000000000
127,100,0,5,0,100,100,0,100,100,0.0449732566,44.6332546388,31.2002114308,1.0000000000,1.6000000000,250.0000000000
128,100,0,15,0,100,100,0,100,100,0.0408154206,44.5924392182,29.6001614199,1.0000000000,1.6000000000,250.0000000000
129,100,0,16,0,100,100,0,100,100,0.0411408717,44.5512983465,29.4401849351,1.0000000000,1.6000000000,250.0000000000
130,100,0,24,0,100,100,0,100,100,0.0392729899,44.5120253567,28.1601529491,1.0000000000,1.6000000000,250.0000000000
131,100,0,44,0,100,100,0,100,100,0.0369617224,44.4750636343,24.9601481838,1.0000000000,1.6000000000,250.0000000000
132,100,0,4,0,100,100,0,100,100,0.0447318279,44.4303318064,31.3601804199,1.0000000000,1.6000000000,250.0000000000
133,100,0,9,0,100,100,0,100,100,0.0430573854,44.3872744210,30.5602057576,1.0000000000,1.6000000000,250.0000000000
134,100,0,8,0,100,100,0,100,100,0.0431276389,44.3441467821,30.7201773762,1.0000000000,1.6000000000,250.0000000000
135,100,0,3,0,100,100,0,100,100,0.0479844636,44.2961623185,31.5202098603,1.0000000000,1.6000000000,250.0000000000
136,100,0,4,0,100,100,0,100,100,0.0443805473,44.2517817712,31.3601763534,1.0000000000,1.6000000000,250.0000000000
137,100,0,11,0,100,100,0,100,100,0.0419851807,44.2097965905,30.2401955275,1.0000000000,1.6000000000,250.0000000000
138,100,0,12,0,100,100,0,100,100,0.0431913631,44.1666052274,30.0801806544,1.0000000000,1.6000000000,250.0000000000
139,100,0,15,0,100,100,0,100,100,0.0406304195,44.1259748079,29.6001630465,1.0000000000,1.6000000000,250.0000000000
140,100,0,17,0,100,100,0,100,100,0.0405306648,44.0854441431,29.2801637143,1.0000000000,1.6000000000,250.0000000000
141,100,0,28,0,100,100,0,100,100,0.0391621401,44.0462820030,27.5201607697,1.0000000000,1.6000000000,250.0000000000
142,100,0,38,0,100,100,0,100,100,0.0376366367,44.0086453663,25.9201481467,1.0000000000,1.6000000000,250.0000000000
143,100,0,2,0,100,100,0,100,100,0.0538730130,43.9547723533,31.6803265977,1.0000000000,1.6000000000,250.0000000000
144,100,0,3,0,100,100,0,100,100,0.0454242480,43.9093481053,31.5201947259,1.0000000000,1.6000000000,250.0000000000
145,100,0,6,0,100,100,0,100,100,0.0434444084,43.8659036968,31.0401894668,1.0000000000,1.6000000000,250.0000000000
146,100,0,6,0,100,100,0,100,100,0.0431227902,43.8227809066,31.0401778951,1.0000000000,1.6000000000,250.0000000000
147,100,0,4,0,100,100,0,100,100,0.0449631672,43.7778177395,31.3601796152,1.0000000000,1.6000000000,250.0000000000
148,100,0,11,0,100,100,0,100,100,0.0422622751,43.7355554644,30.2401841104,1.0000000000,1.6000000000,250.0000000000
149,100,0,11,0,100,100,0,100,100,0.0426064695,43.6929489949,30.2402168976,1.0000000000,1.6000000000,250.0000000000
150,100,0,13,0,100,100,0,100,100,0.0412721324,43.6516768624,29.9201765161,1.0000000000,1.6000000000,250.0000000000
151,100,0,16,0,100,100,0,100,100,0.0417504706,43.6099263918,29.4401850267,1.0000000000,1.6000000000,250.0000000000
152,100,0,13,0,100,100,0,100,100,0.0411311567,43.5687952351,29.9201752337,1.0000000000,1.6000000000,250.0000000000
153,100,0,36,0,100,100,0,100,100,0.0383537898,43.5304414453,26.2401561788,1.0000000000,1.6000000000,250.0000000000
154,100,0,5,0,100,100,0,100,100,0.0447220092,43.4857194361,31.2002159456,1.0000000000,1.6000000000,250.0000000000
155,100,0,4,0,100,100,0,100,100,0.0466147181,43.4391047181,31.3602740257,1.0000000000,1.6000000000,250.0000000000
