Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
86,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0384731343,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
87,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0161350578,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
88,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9937969813,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
89,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9714589048,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
90,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9491208283,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
91,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,47.9152081481,11.1111111111,15.2801758504,1.0000000000,0.8872000000,225.4283137962,0,0
92,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8941328738,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
93,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8730575995,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
94,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8519823252,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
95,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8309070509,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
96,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8098317767,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
97,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7887565024,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
98,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7676812281,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
99,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7466059538,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
100,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7255306795,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
101,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,47.6948429454,33.3333333333,15.7602224199,1.0000000000,0.8824000000,226.6545784225,0,0
102,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6707621932,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
103,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6466814409,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
104,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6226006887,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
105,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5985199365,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
106,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5744391842,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
