Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
122,100,0,4,100,100,0,0,0,0,0,100,100,0.0220384812,46.9782969259,25.0000000000,15.6801615124,1.0000000000,0.8000000000,250.0000000000,0,0
123,100,0,4,100,100,0,0,0,0,0,100,100,0.0220384812,46.9562584446,25.0000000000,15.6801615124,1.0000000000,0.8000000000,250.0000000000,0,0
124,100,0,4,100,100,0,0,0,0,0,100,100,0.0220384812,46.9342199634,25.0000000000,15.6801615124,1.0000000000,0.8000000000,250.0000000000,0,0
125,100,0,4,100,100,0,0,0,0,0,100,100,0.0220384812,46.9121814821,25.0000000000,15.6801615124,1.0000000000,0.8000000000,250.0000000000,0,0
126,100,0,8,100,100,0,0,1,108,976,100,100,0.0328980687,46.8792834135,12.5000000000,15.3601703190,1.0000000000,0.8864000000,225.6317689531,0,0
127,100,0,8,100,100,0,0,0,0,0,100,100,0.0211459262,46.8581374873,12.5000000000,15.3601703190,1.0000000000,0.8000000000,250.0000000000,0,0
128,100,0,8,100,100,0,0,0,0,0,100,100,0.0211459262,46.8369915612,12.5000000000,15.3601703190,1.0000000000,0.8000000000,250.0000000000,0,0
129,100,0,8,100,100,0,0,0,0,0,100,100,0.0211459262,46.8158456350,12.5000000000,15.3601703190,1.0000000000,0.8000000000,250.0000000000,0,0
130,100,0,8,100,100,0,0,0,0,0,100,100,0.0211459262,46.7946997088,12.5000000000,15.3601703190,1.0000000000,0.8000000000,250.0000000000,0,0
131,100,0,4,100,100,0,0,1,104,588,100,100,0.0300951264,46.7646045825,25.0000000000,15.6802159097,1.0000000000,0.8832000000,226.4492753623,0,0
132,100,0,4,100,100,0,0,0,0,0,100,100,0.0225584183,46.7420461642,25.0000000000,15.6802159097,1.0000000000,0.8000000000,250.0000000000,0,0
133,100,0,4,100,100,0,0,0,0,0,100,100,0.0225584183,46.7194877459,25.0000000000,15.6802159097,1.0000000000,0.8000000000,250.0000000000,0,0
134,100,0,4,100,100,0,0,0,0,0,100,100,0.0225584183,46.6969293277,25.0000000000,15.6802159097,1.0000000000,0.8000000000,250.0000000000,0,0
135,100,0,4,100,100,0,0,0,0,0,100,100,0.0225584183,46.6743709094,25.0000000000,15.6802159097,1.0000000000,0.8000000000,250.0000000000,0,0
136,100,0,5,100,100,0,0,1,105,685,100,100,0.0314263410,46.6429445684,20.0000000000,15.6001842816,1.0000000000,0.8840000000,226.2443438914,0,0
137,100,0,5,100,100,0,0,0,0,0,100,100,0.0227734640,46.6201711043,20.0000000000,15.6001842816,1.0000000000,0.8000000000,250.0000000000,0,0
138,100,0,5,100,100,0,0,0,0,0,100,100,0.0227734640,46.5973976403,20.0000000000,15.6001842816,1.0000000000,0.8000000000,250.0000000000,0,0
139,100,0,5,100,100,0,0,0,0,0,100,100,0.0227734640,46.5746241763,20.0000000000,15.6001842816,1.0000000000,0.8000000000,250.0000000000,0,0
140,100,0,5,100,100,0,0,0,0,0,100,100,0.0227734640,46.5518507123,20.0000000000,15.6001842816,1.0000000000,0.8000000000,250.0000000000,0,0
