Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
60,100,0,3,0,100,100,0,100,100,0.0320854439,47.9261052098,15.7603040832,1.0000000000,0.8000000000,250.0000000000
61,100,0,4,0,100,100,0,100,100,0.0301562384,47.8959489714,15.6802439614,1.0000000000,0.8000000000,250.0000000000
62,100,0,7,0,100,100,0,100,100,0.0319797946,47.8639691769,15.4401720901,1.0000000000,0.8000000000,250.0000000000
63,100,0,4,0,100,100,0,100,100,0.0303385402,47.8336306367,15.6802326748,1.0000000000,0.8000000000,250.0000000000
64,100,0,6,0,100,100,0,100,100,0.0326093910,47.8010212457,15.5201997277,1.0000000000,0.8000000000,250.0000000000
65,100,0,7,0,100,100,0,100,100,0.0328472943,47.7681739515,15.4401752915,1.0000000000,0.8000000000,250.0000000000
66,100,0,10,0,100,100,0,100,100,0.0346795332,47.7334944183,15.2001735754,1.0000000000,0.8000000000,250.0000000000
67,100,0,13,0,100,100,0,100,100,0.0375962154,47.6958982029,14.9601604664,1.0000000000,0.8000000000,250.0000000000
68,100,0,10,0,100,100,0,100,100,0.0349710049,47.6609271980,15.2001855490,1.0000000000,0.8000000000,250.0000000000
69,100,0,8,0,100,100,0,100,100,0.0330809325,47.6278462655,15.3602015916,1.0000000000,0.8000000000,250.0000000000
70,100,0,2,0,100,100,0,100,100,0.0300386043,47.5978076612,15.8402420385,1.0000000000,0.8000000000,250.0000000000
71,100,0,6,0,100,100,0,100,100,0.0322075462,47.5656001150,15.5202268815,1.0000000000,0.8000000000,250.0000000000
72,100,0,2,0,100,100,0,100,100,0.0303968527,47.5352032624,15.8402898192,1.0000000000,0.8000000000,250.0000000000
73,100,0,13,0,100,100,0,100,100,0.0376746723,47.4975285901,14.9601681068,1.0000000000,0.8000000000,250.0000000000
74,100,0,12,0,100,100,0,100,100,0.0369799240,47.4605486661,15.0401637225,1.0000000000,0.8000000000,250.0000000000
75,100,0,16,0,100,100,0,100,100,0.0405751785,47.4199734875,14.7201550721,1.0000000000,0.8000000000,250.0000000000
76,100,0,15,0,100,100,0,100,100,0.0398471887,47.3801262988,14.8001714273,1.0000000000,0.8000000000,250.0000000000
77,100,0,3,0,100,100,0,100,100,0.0316376869,47.3484886119,15.7603053370,1.0000000000,0.8000000000,250.0000000000
78,100,0,2,0,100,100,0,100,100,0.0307194121,47.3177691997,15.8402907366,1.0000000000,0.8000000000,250.0000000000
79,100,0,6,0,100,100,0,100,100,0.0319253803,47.2858438194,15.5201827386,1.0000000000,0.8000000000,250.0000000000
80,100,0,1,1,100,100,0,100,100,0.0336571541,47.2521866653,15.9203326333,1.0000000000,0.8000000000,250.0000000000
81,100,0,9,0,100,100,0,100,100,0.0339704880,47.2182161774,15.2801804552,1.0000000000,0.8000000000,250.0000000000
82,100,0,14,0,100,100,0,100,100,0.0385876661,47.1796285113,14.8801534719,1.0000000000,0.8000000000,250.0000000000
83,100,0,12,0,100,100,0,100,100,0.0377740775,47.1418544337,15.0401929752,1.0000000000,0.8000000000,250.0000000000
84,100,0,11,0,100,100,0,100,100,0.0360838627,47.1057705710,15.1201778731,1.0000000000,0.8000000000,250.0000000000
85,100,0,10,0,100,100,0,100,100,0.0350020742,47.0707684969,15.2001644343,1.0000000000,0.8000000000,250.0000000000
86,100,0,11,0,100,100,0,100,100,0.0360044746,47.0347640223,15.1201621707,1.0000000000,0.8000000000,250.0000000000
87,100,0,9,0,100,100,0,100,100,0.0340362669,47.0007277554,15.2801568998,1.0000000000,0.8000000000,250.0000000000
88,100,0,1,1,100,100,0,100,100,0.0409443028,46.9597834527,15.9204332012,1.0000000000,0.8000000000,250.0000000000
89,100,0,1,1,100,100,0,100,100,0.0358380957,46.9239453570,15.9203683765,1.0000000000,0.8000000000,250.0000000000
90,100,0,1,1,100,100,0,100,100,0.0416768087,46.8822685483,15.9204416917,1.0000000000,0.8000000000,250.0000000000
91,100,0,8,0,100,100,0,100,100,0.0328328504,46.8494356980,15.3601477924,1.0000000000,0.8000000000,250.0000000000
92,100,0,4,0,100,100,0,100,100,0.0307533283,46.8186823697,15.6802368078,1.0000000000,0.8000000000,250.0000000000
93,100,0,7,0,100,100,0,100,100,0.0320054549,46.7866769148,15.4401717308,1.0000000000,0.8000000000,250.0000000000
94,100,0,9,0,100,100,0,100,100,0.0339176604,46.7527592544,15.2801608549,1.0000000000,0.8000000000,250.0000000000
95,100,0,10,0,100,100,0,100,100,0.0348994101,46.7178598443,15.2001897650,1.0000000000,0.8000000000,250.0000000000
96,100,0,8,0,100,100,0,100,100,0.0329623363,46.6848975080,15.3601793056,1.0000000000,0.8000000000,250.0000000000
97,100,0,18,0,100,100,0,100,100,0.0427497818,46.6421477262,14.5601641935,1.0000000000,0.8000000000,250.0000000000
98,100,0,13,0,100,100,0,100,100,0.0379067228,46.6042410034,14.9601740010,1.0000000000,0.8000000000,250.0000000000
99,100,0,1,0,100,100,0,100,100,0.0352339956,46.5690070078,15.9203683693,1.0000000000,0.8000000000,250.0000000000
100,100,0,1,1,100,100,0,100,100,0.0326461093,46.5363608984,15.9202996803,1.0000000000,0.8000000000,250.0000000000
101,100,0,7,0,100,100,0,100,100,0.0326858011,46.5036750973,15.4402001621,1.0000000000,0.8000000000,250.0000000000
102,100,0,4,0,100,100,0,100,100,0.0322306551,46.4714444422,15.6802998610,1.0000000000,0.8000000000,250.0000000000
103,100,0,10,0,100,100,0,100,100,0.0347915815,46.4366528607,15.2001605890,1.0000000000,0.8000000000,250.0000000000
104,100,0,11,0,100,100,0,100,100,0.0357648225,46.4008880382,15.1201686939,1.0000000000,0.8000000000,250.0000000000
105,100,0,13,0,100,100,0,100,100,0.0378559068,46.3630321314,14.9601625305,1.0000000000,0.8000000000,250.0000000000
106,100,0,6,0,100,100,0,100,100,0.0312174974,46.3318146341,15.5202075771,1.0000000000,0.8000000000,250.0000000000
107,100,0,9,0,100,100,0,100,100,0.0339984940,46.2978161400,15.2801607911,1.0000000000,0.8000000000,250.0000000000
108,100,0,16,0,100,100,0,100,100,0.0407106348,46.2571055052,14.7201562782,1.0000000000,0.8000000000,250.0000000000
109,100,0,11,0,100,100,0,100,100,0.0361730852,46.2209324199,15.1201709238,1.0000000000,0.8000000000,250.0000000000
110,100,0,1,1,100,100,0,100,100,0.0332801781,46.1876522419,15.9203342846,1.0000000000,0.8000000000,250.0000000000
111,100,0,6,0,100,100,0,100,100,0.0316932445,46.1559589973,15.5201979096,1.0000000000,0.8000000000,250.0000000000
112,100,0,6,0,100,100,0,100,100,0.0319627406,46.1239962567,15.5202315968,1.0000000000,0.8000000000,250.0000000000
113,100,0,6,0,100,100,0,100,100,0.0311888401,46.0928074167,15.5202144316,1.0000000000,0.8000000000,250.0000000000
114,100,0,5,0,100,100,0,100,100,0.0306203025,46.0621871142,15.6001671405,1.0000000000,0.8000000000,250.0000000000
115,100,0,12,0,100,100,0,100,100,0.0368377495,46.0253493647,15.0401691984,1.0000000000,0.8000000000,250.0000000000
116,100,0,9,0,100,100,0,100,100,0.0345630874,45.9907862773,15.2801757337,1.0000000000,0.8000000000,250.0000000000
117,100,0,12,0,100,100,0,100,100,0.0367440802,45.9540421971,15.0401730756,1.0000000000,0.8000000000,250.0000000000
118,100,0,10,0,100,100,0,100,100,0.0352392498,45.9188029473,15.2001667566,1.0000000000,0.8000000000,250.0000000000
119,100,0,9,0,100,100,0,100,100,0.0342367724,45.8845661750,15.2801680679,1.0000000000,0.8000000000,250.0000000000
120,100,0,8,0,100,100,0,100,100,0.0337051722,45.8508610027,15.3601922578,1.0000000000,0.8000000000,250.0000000000
121,100,0,4,0,100,100,0,100,100,0.0305357648,45.8203252379,15.6801977056,1.0000000000,0.8000000000,250.0000000000
122,100,0,2,0,100,100,0,100,100,0.0289671333,45.7913581047,15.8402379135,1.0000000000,0.8000000000,250.0000000000
123,100,0,3,0,100,100,0,100,100,0.0304993971,45.7608587076,15.7602571998,1.0000000000,0.8000000000,250.0000000000
124,100,0,8,0,100,100,0,100,100,0.0333284012,45.7275303064,15.3602017647,1.0000000000,0.8000000000,250.0000000000
125,100,0,8,0,100,100,0,100,100,0.0330331027,45.6944972036,15.3601771309,1.0000000000,0.8000000000,250.0000000000
126,100,0,5,0,100,100,0,100,100,0.0311575654,45.6633396383,15.6002292948,1.0000000000,0.8000000000,250.0000000000
127,100,0,7,0,100,100,0,100,100,0.0320159087,45.6313237295,15.4401884267,1.0000000000,0.8000000000,250.0000000000
128,100,0,8,0,100,100,0,100,100,0.0333230329,45.5980006967,15.3602058459,1.0000000000,0.8000000000,250.0000000000
129,100,0,11,0,100,100,0,100,100,0.0357613996,45.5622392971,15.1201755399,1.0000000000,0.8000000000,250.0000000000
130,100,0,9,0,100,100,0,100,100,0.0344678353,45.5277714618,15.2801917869,1.0000000000,0.8000000000,250.0000000000
131,100,0,53,0,100,100,0,100,100,0.0779547050,45.4498167568,11.7601437477,1.0000000000,0.8000000000,250.0000000000
