Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
782,46,54,8,46,46,0,0,6,120,667,46,46,0.0249151955,4.6012895028,5.7500000000,14.6091716358,1.0000000000,0.4640000000,198.2758620690
783,45,55,9,46,41,5,0,6,124,666,45,45,0.0260923934,4.5751971095,4.6666666667,14.4394839916,0.8913043478,0.4592000000,178.5714285714
784,45,55,8,45,45,0,0,6,118,645,45,45,0.0241804878,4.5510166217,5.6250000000,14.5782508421,1.0000000000,0.4544000000,198.0633802817
785,45,55,7,45,45,0,0,6,118,618,45,45,0.0239612374,4.5270553843,6.4285714286,14.7560409917,1.0000000000,0.4544000000,198.0633802817
786,45,55,8,45,45,0,0,6,120,634,45,45,0.0246671037,4.5023882806,5.6250000000,14.5782503851,1.0000000000,0.4560000000,197.3684210526
787,45,55,8,45,45,0,0,6,115,627,45,45,0.0254876864,4.4769005942,5.6250000000,14.5782530722,1.0000000000,0.4520000000,199.1150442478
788,45,55,8,45,45,0,0,6,124,682,45,45,0.0257125170,4.4511880772,5.6250000000,14.5782401789,1.0000000000,0.4592000000,195.9930313589
789,44,56,7,45,44,1,0,6,118,652,44,44,0.0234115303,4.4277765469,6.4285714286,14.9095765451,0.9777777778,0.4464000000,197.1326164875
790,44,56,8,44,44,0,0,6,117,622,44,44,0.0240065741,4.4037699729,5.5000000000,14.5459256958,1.0000000000,0.4456000000,197.4865350090
791,44,56,6,44,44,0,0,6,109,607,44,44,0.0215907153,4.3821792575,7.3333333333,14.9095706941,1.0000000000,0.4392000000,200.3642987250
792,43,57,7,44,41,3,0,6,117,649,43,43,0.0230274488,4.3591518087,6.0000000000,14.8297317420,0.9318181818,0.4376000000,187.3857404022
793,43,57,7,43,43,0,0,6,110,624,43,43,0.0228795752,4.3362722335,6.1428571429,14.6981448880,1.0000000000,0.4320000000,199.0740740741
794,43,57,7,43,43,0,0,6,114,644,43,43,0.0233255692,4.3129466643,6.1428571429,14.6981452342,1.0000000000,0.4352000000,197.6102941176
795,41,59,8,42,40,2,0,6,112,594,41,41,0.0234586715,4.2894879929,5.1250000000,14.6004691921,0.9523809524,0.4176000000,191.5708812261
796,41,59,7,41,41,0,0,6,109,577,41,41,0.0214178088,4.2680701841,5.8571428571,14.6346090576,1.0000000000,0.4152000000,197.4951830443
797,41,59,8,41,41,0,0,6,109,598,41,41,0.0233631938,4.2447069903,5.1250000000,14.4394943138,1.0000000000,0.4152000000,197.4951830443
798,40,60,8,41,40,1,0,6,108,547,40,40,0.0216792217,4.2230277686,5.1250000000,14.6004511462,0.9756097561,0.4064000000,196.8503937008
799,40,60,6,40,40,0,0,6,109,624,40,40,0.0206758497,4.2023519189,6.6666666667,14.8004680713,1.0000000000,0.4072000000,196.4636542240
800,40,60,7,40,40,0,0,6,109,605,40,40,0.0213366705,4.1810152484,5.7142857143,14.6004678956,1.0000000000,0.4072000000,196.4636542240
801,40,60,6,40,39,1,0,6,102,567,39,39,0.0192179559,4.1617972926,6.6666666667,14.7696951604,0.9750000000,0.3936000000,198.1707317073
802,39,61,7,39,39,0,0,6,105,568,39,39,0.0208813383,4.1409159543,5.5714285714,14.5645533121,1.0000000000,0.3960000000,196.9696969697
803,39,61,6,39,39,0,0,6,103,578,39,39,0.0202460008,4.1206699535,6.5000000000,14.7697038526,1.0000000000,0.3944000000,197.7687626775
804,39,61,10,39,39,0,0,6,103,548,39,39,0.0218762967,4.0987936568,3.9000000000,13.9491666011,1.0000000000,0.3944000000,197.7687626775
805,39,61,5,39,39,0,0,6,95,512,39,39,0.0180709227,4.0807227341,7.8000000000,14.9748250971,1.0000000000,0.3880000000,201.0309278351
806,38,62,7,38,38,0,0,6,102,508,38,38,0.0194921576,4.0612305765,5.4285714286,14.5267658452,1.0000000000,0.3856000000,197.0954356846
807,38,62,7,38,38,0,0,6,106,521,38,38,0.0203506791,4.0408798974,5.4285714286,14.5267740480,1.0000000000,0.3888000000,195.4732510288
808,38,62,7,38,38,0,0,6,99,495,38,38,0.0189883823,4.0218915151,5.4285714286,14.5267714501,1.0000000000,0.3832000000,198.3298538622
809,38,62,8,38,38,0,0,6,104,496,38,38,0.0202456263,4.0016458888,4.7500000000,14.3162395370,1.0000000000,0.3872000000,196.2809917355
810,38,62,8,38,38,0,0,6,101,500,38,38,0.0203951335,3.9812507552,4.7500000000,14.3162459014,1.0000000000,0.3848000000,197.5051975052
811,37,63,7,38,28,10,0,6,108,551,36,36,0.0187438302,3.9625069250,4.1428571429,14.2861665866,0.7368421053,0.3744000000,149.5726495726
812,37,63,7,37,37,0,0,6,101,463,37,37,0.0191361184,3.9433708066,5.2857142857,14.4869491565,1.0000000000,0.3768000000,196.3906581741
813,37,63,7,37,37,0,0,6,99,488,37,37,0.0193614507,3.9240093559,5.2857142857,14.4869431495,1.0000000000,0.3752000000,197.2281449893
814,37,63,7,37,37,0,0,6,98,475,37,37,0.0186746890,3.9053346669,5.2857142857,14.4869439014,1.0000000000,0.3744000000,197.6495726496
815,37,63,6,37,37,0,0,6,102,522,37,37,0.0185038749,3.8868307920,6.1666666667,14.7031659513,1.0000000000,0.3776000000,195.9745762712
816,37,63,7,37,37,0,0,6,100,474,37,37,0.0195535469,3.8672772451,5.2857142857,14.4869384413,1.0000000000,0.3760000000,196.8085106383
817,37,63,7,37,37,0,0,6,98,458,37,37,0.0191490181,3.8481282270,5.2857142857,14.4869390191,1.0000000000,0.3744000000,197.6495726496
818,37,63,6,37,37,0,0,6,96,473,37,37,0.0191586630,3.8289695640,6.1666666667,14.7031709701,1.0000000000,0.3728000000,198.4978540773
819,37,63,7,37,37,0,0,6,103,501,37,37,0.0194391648,3.8095303993,5.2857142857,14.4869472676,1.0000000000,0.3784000000,195.5602536998
820,37,63,6,37,37,0,0,6,104,516,37,37,0.0185802131,3.7909501862,6.1666666667,14.7031713258,1.0000000000,0.3792000000,195.1476793249
821,37,63,7,37,37,0,0,6,100,486,37,37,0.0190990222,3.7718511640,5.2857142857,14.4869449388,1.0000000000,0.3760000000,196.8085106383
822,37,63,6,37,37,0,0,6,101,512,37,37,0.0181326303,3.7537185337,6.1666666667,14.7031640195,1.0000000000,0.3768000000,196.3906581741
823,37,63,7,37,37,0,0,6,98,457,37,37,0.0190621192,3.7346564145,5.2857142857,14.4869497487,1.0000000000,0.3744000000,197.6495726496
824,37,63,7,37,37,0,0,6,99,475,37,37,0.0189024997,3.7157539148,5.2857142857,14.4869291785,1.0000000000,0.3752000000,197.2281449893
825,37,63,5,37,37,0,0,6,98,507,37,37,0.0173815432,3.6983723715,7.4000000000,14.9193828458,1.0000000000,0.3744000000,197.6495726496
826,37,63,7,37,37,0,0,6,93,463,37,37,0.0189673802,3.6794049913,5.2857142857,14.4869456136,1.0000000000,0.3704000000,199.7840172786
827,37,63,7,37,37,0,0,6,100,469,37,37,0.0184280671,3.6609769242,5.2857142857,14.4869407243,1.0000000000,0.3760000000,196.8085106383
828,37,63,6,37,37,0,0,6,90,407,37,37,0.0167907860,3.6441861382,6.1666666667,14.7031553384,1.0000000000,0.3680000000,201.0869565217
