Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1642,11,89,9,11,11,0,0,6,39,12,11,11,0.0023842288,0.2231333604,1.2222222222,9.4547051790,1.0000000000,0.1192000000,184.5637583893
1643,11,89,9,11,11,0,0,6,37,13,11,11,0.0023877280,0.2207456325,1.2222222222,9.4547106806,1.0000000000,0.1176000000,187.0748299320
1644,11,89,9,11,11,0,0,6,45,14,11,11,0.0024717288,0.2182739037,1.2222222222,9.4547051790,1.0000000000,0.1240000000,177.4193548387
1645,11,89,9,11,11,0,0,6,48,17,11,11,0.0025514780,0.2157224257,1.2222222222,9.4547106806,1.0000000000,0.1264000000,174.0506329114
1646,11,89,9,11,11,0,0,6,37,15,11,11,0.0024077280,0.2133146978,1.2222222222,9.4547106806,1.0000000000,0.1176000000,187.0748299320
1647,11,89,9,11,11,0,0,6,41,13,11,11,0.0024167288,0.2108979689,1.2222222222,9.4547051790,1.0000000000,0.1208000000,182.1192052980
1648,11,89,9,11,11,0,0,6,37,13,11,11,0.0023877280,0.2085102410,1.2222222222,9.4547106806,1.0000000000,0.1176000000,187.0748299320
1649,11,89,9,11,11,0,0,6,49,17,11,11,0.0025467288,0.2059635122,1.2222222222,9.4547051790,1.0000000000,0.1272000000,172.9559748428
1650,11,89,9,11,11,0,0,6,36,11,11,11,0.0023416122,0.2036218999,1.2222222222,9.4547057709,1.0000000000,0.1168000000,188.3561643836
1651,11,89,9,11,11,0,0,6,43,15,11,11,0.0024603622,0.2011615377,1.2222222222,9.4547057709,1.0000000000,0.1224000000,179.7385620915
1652,11,89,9,11,11,0,0,6,39,13,11,11,0.0023953622,0.1987661755,1.2222222222,9.4547057709,1.0000000000,0.1192000000,184.5637583893
1653,11,89,9,11,11,0,0,6,38,13,11,11,0.0023681131,0.1963980624,1.2222222222,9.4547002693,1.0000000000,0.1184000000,185.8108108108
1654,11,89,9,11,11,0,0,6,49,14,11,11,0.0025178622,0.1938802001,1.2222222222,9.4547057709,1.0000000000,0.1272000000,172.9559748428
1655,11,89,9,11,11,0,0,6,47,17,11,11,0.0025253622,0.1913548379,1.2222222222,9.4547057709,1.0000000000,0.1256000000,175.1592356688
1656,10,90,9,11,10,1,0,6,41,13,10,10,0.0022904101,0.1890644277,1.2222222222,9.6001596841,0.9090909091,0.1128000000,177.3049645390
1657,9,91,8,10,9,1,0,6,38,12,9,9,0.0020680126,0.1869964152,1.2500000000,9.7779281873,0.9000000000,0.1024000000,175.7812500000
1658,9,91,7,9,9,0,0,6,39,15,9,9,0.0021002030,0.1848962122,1.2857142857,9.7779409123,1.0000000000,0.1032000000,174.4186046512
1659,9,91,7,9,9,0,0,6,37,15,9,9,0.0020777030,0.1828185092,1.2857142857,9.7779409123,1.0000000000,0.1016000000,177.1653543307
1660,9,91,7,9,9,0,0,6,28,13,9,9,0.0019564530,0.1808620563,1.2857142857,9.7779409123,1.0000000000,0.0944000000,190.6779661017
1661,9,91,7,9,9,0,0,6,29,13,9,9,0.0019677030,0.1788943533,1.2857142857,9.7779409123,1.0000000000,0.0952000000,189.0756302521
1662,9,91,7,9,9,0,0,6,28,13,9,9,0.0019404538,0.1769538995,1.2857142857,9.7779341881,1.0000000000,0.0944000000,190.6779661017
1663,9,91,7,9,9,0,0,6,30,13,9,9,0.0019629538,0.1749909456,1.2857142857,9.7779341881,1.0000000000,0.0960000000,187.5000000000
1664,9,91,7,9,9,0,0,6,36,15,9,9,0.0020504538,0.1729404918,1.2857142857,9.7779341881,1.0000000000,0.1008000000,178.5714285714
1665,9,91,7,9,9,0,0,6,37,14,9,9,0.0020368381,0.1709036537,1.2857142857,9.7779281873,1.0000000000,0.1016000000,177.1653543307
1666,9,91,7,9,9,0,0,6,35,14,9,9,0.0020303373,0.1688733164,1.2857142857,9.7779349115,1.0000000000,0.1000000000,180.0000000000
