Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
58,100,0,13,0,100,100,0,100,100,0.0377154831,47.6649982817,14.9601705099,1.0000000000,0.8000000000,250.0000000000
59,100,0,35,0,100,100,0,100,100,0.0599606894,47.6050375924,13.2001524176,1.0000000000,0.8000000000,250.0000000000
60,100,0,7,0,100,100,0,100,100,0.0322573907,47.5727802017,15.4401911916,1.0000000000,0.8000000000,250.0000000000
61,100,0,5,0,100,100,0,100,100,0.0306747755,47.5421054262,15.6001820656,1.0000000000,0.8000000000,250.0000000000
62,100,0,9,0,100,100,0,100,100,0.0339624981,47.5081429281,15.2801722407,1.0000000000,0.8000000000,250.0000000000
63,100,0,11,0,100,100,0,100,100,0.0360875898,47.4720553383,15.1201692538,1.0000000000,0.8000000000,250.0000000000
64,100,0,28,0,100,100,0,100,100,0.0528438400,47.4192114983,13.7601585480,1.0000000000,0.8000000000,250.0000000000
65,100,0,38,0,100,100,0,100,100,0.0630134955,47.3561980028,12.9601526344,1.0000000000,0.8000000000,250.0000000000
66,100,0,4,0,100,100,0,100,100,0.0299380830,47.3262599198,15.6801850875,1.0000000000,0.8000000000,250.0000000000
67,100,0,5,0,100,100,0,100,100,0.0316328396,47.2946270802,15.6002476942,1.0000000000,0.8000000000,250.0000000000
68,100,0,7,0,100,100,0,100,100,0.0324880462,47.2621390341,15.4401757445,1.0000000000,0.8000000000,250.0000000000
69,100,0,9,0,100,100,0,100,100,0.0341992031,47.2279398310,15.2801814080,1.0000000000,0.8000000000,250.0000000000
70,100,0,10,0,100,100,0,100,100,0.0351074247,47.1928324063,15.2001912268,1.0000000000,0.8000000000,250.0000000000
71,100,0,7,0,100,100,0,100,100,0.0326628549,47.1601695514,15.4401834595,1.0000000000,0.8000000000,250.0000000000
72,100,0,10,0,100,100,0,100,100,0.0350820899,47.1250874615,15.2001856028,1.0000000000,0.8000000000,250.0000000000
73,100,0,16,0,100,100,0,100,100,0.0409147118,47.0841727497,14.7201729825,1.0000000000,0.8000000000,250.0000000000
74,100,0,15,0,100,100,0,100,100,0.0399911540,47.0441815957,14.8001632776,1.0000000000,0.8000000000,250.0000000000
75,100,0,31,0,100,100,0,100,100,0.0559932829,46.9881883127,13.5201572718,1.0000000000,0.8000000000,250.0000000000
76,100,0,47,0,100,100,0,100,100,0.0721344991,46.9160538136,12.2401471559,1.0000000000,0.8000000000,250.0000000000
77,100,0,7,0,100,100,0,100,100,0.0321042363,46.8839495773,15.4402095229,1.0000000000,0.8000000000,250.0000000000
78,100,0,3,0,100,100,0,100,100,0.0297890221,46.8541605552,15.7602275292,1.0000000000,0.8000000000,250.0000000000
79,100,0,2,0,100,100,0,100,100,0.0341246151,46.8200359401,15.8403462722,1.0000000000,0.8000000000,250.0000000000
