Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions
49,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.9077109929,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8860976190,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8644842451,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
52,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8428708713,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8212574974,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7996441236,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7780307497,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7564173758,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7348040020,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7131906281,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.6915772542,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.6699638804,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
61,100,0,6,100,100,0,0,1,106,782,100,100,0.0317579409,48.6382059395,16.6666666667,15.5201869491,1.0000000000,0.8848000000,226.0397830018,0,0
62,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.6161206624,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
63,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.5940353853,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
64,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.5719501083,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
65,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.5498648312,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
66,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.5277795541,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
67,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.5056942771,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
68,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.4836090000,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
69,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.4615237229,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
70,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.4394384459,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
71,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.4173531688,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
72,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.3952678917,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
73,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.3731826147,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
74,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.3510973376,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
75,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.3290120605,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
76,100,0,5,100,100,0,0,1,105,685,100,100,0.0306026863,48.2984093743,20.0000000000,15.6001849837,1.0000000000,0.8840000000,226.2443438914,0,0
77,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.2763798776,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
78,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.2543503809,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
79,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.2323208843,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
80,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.2102913876,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
81,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.1882618909,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
82,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.1662323943,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
83,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.1442028976,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
84,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.1221734009,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
85,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.1001439043,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
86,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.0781144076,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
87,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.0560849109,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
88,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.0340554143,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
89,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.0120259176,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
90,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,47.9899964209,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
91,100,0,10,100,100,0,0,1,110,1170,100,100,0.0351763096,47.9548201114,10.0000000000,15.2002003967,1.0000000000,0.8880000000,225.2252252252,0,0
92,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.9335788330,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
93,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.9123375546,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
94,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.8910962762,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
95,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.8698549978,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
96,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.8486137194,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
97,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.8273724411,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
98,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.8061311627,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
99,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.7848898843,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
100,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.7636486059,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
101,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.7424073275,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
102,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.7211660491,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
103,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.6999247708,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
104,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.6786834924,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
105,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,47.6574422140,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
106,100,0,3,100,100,0,0,1,103,491,100,100,0.0286687927,47.6287734213,33.3333333333,15.7601765007,1.0000000000,0.8824000000,226.6545784225,0,0
107,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.6065195178,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
108,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.5842656143,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
109,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.5620117108,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
110,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.5397578073,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
111,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.5175039038,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
112,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.4952500003,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
113,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.4729960968,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
114,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.4507421933,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
115,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.4284882899,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
116,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.4062343864,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
117,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.3839804829,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
