Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
121,100,0,4,100,100,0,0,1,104,588,100,100,0.0317582548,46.6377019135,25.0000000000,8.0000832496,1.0000000000,0.8832000000,226.4492753623
122,100,0,4,100,100,0,0,0,0,0,100,100,0.0242681635,46.6134337500,25.0000000000,8.0000832496,1.0000000000,0.8000000000,250.0000000000
123,100,0,4,100,100,0,0,0,0,0,100,100,0.0242681635,46.5891655864,25.0000000000,8.0000832496,1.0000000000,0.8000000000,250.0000000000
124,100,0,4,100,100,0,0,0,0,0,100,100,0.0242681635,46.5648974229,25.0000000000,8.0000832496,1.0000000000,0.8000000000,250.0000000000
125,100,0,4,100,100,0,0,0,0,0,100,100,0.0242681635,46.5406292594,25.0000000000,8.0000832496,1.0000000000,0.8000000000,250.0000000000
126,100,0,8,100,100,0,0,1,108,976,100,100,0.0366761130,46.5039531464,12.5000000000,8.0000624746,1.0000000000,0.8864000000,225.6317689531
127,100,0,8,100,100,0,0,0,0,0,100,100,0.0249239705,46.4790291758,12.5000000000,8.0000624746,1.0000000000,0.8000000000,250.0000000000
128,100,0,8,100,100,0,0,0,0,0,100,100,0.0249239705,46.4541052053,12.5000000000,8.0000624746,1.0000000000,0.8000000000,250.0000000000
129,100,0,8,100,100,0,0,0,0,0,100,100,0.0249239705,46.4291812347,12.5000000000,8.0000624746,1.0000000000,0.8000000000,250.0000000000
130,100,0,8,100,100,0,0,0,0,0,100,100,0.0249239705,46.4042572642,12.5000000000,8.0000624746,1.0000000000,0.8000000000,250.0000000000
131,100,0,4,100,100,0,0,1,104,588,100,100,0.0319987056,46.3722585586,25.0000000000,8.0000990685,1.0000000000,0.8832000000,226.4492753623
132,100,0,4,100,100,0,0,0,0,0,100,100,0.0244619975,46.3477965611,25.0000000000,8.0000990685,1.0000000000,0.8000000000,250.0000000000
133,100,0,4,100,100,0,0,0,0,0,100,100,0.0244619975,46.3233345636,25.0000000000,8.0000990685,1.0000000000,0.8000000000,250.0000000000
134,100,0,4,100,100,0,0,0,0,0,100,100,0.0244619975,46.2988725661,25.0000000000,8.0000990685,1.0000000000,0.8000000000,250.0000000000
135,100,0,4,100,100,0,0,0,0,0,100,100,0.0244619975,46.2744105686,25.0000000000,8.0000990685,1.0000000000,0.8000000000,250.0000000000
136,100,0,5,100,100,0,0,1,105,685,100,100,0.0350224905,46.2393880781,20.0000000000,8.0000974267,1.0000000000,0.8840000000,226.2443438914
137,100,0,5,100,100,0,0,0,0,0,100,100,0.0263696135,46.2130184646,20.0000000000,8.0000974267,1.0000000000,0.8000000000,250.0000000000
138,100,0,5,100,100,0,0,0,0,0,100,100,0.0263696135,46.1866488512,20.0000000000,8.0000974267,1.0000000000,0.8000000000,250.0000000000
139,100,0,5,100,100,0,0,0,0,0,100,100,0.0263696135,46.1602792377,20.0000000000,8.0000974267,1.0000000000,0.8000000000,250.0000000000
140,100,0,5,100,100,0,0,0,0,0,100,100,0.0263696135,46.1339096243,20.0000000000,8.0000974267,1.0000000000,0.8000000000,250.0000000000
