Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
78,100,0,1,1,100,100,0,100,100,0.0369104010,46.4161500116,15.9205865459,1.0000000000,0.8000000000,250.0000000000
79,100,0,1,0,100,100,0,100,100,0.0329796506,46.3831703611,15.9207083323,1.0000000000,0.8000000000,250.0000000000
80,100,0,1,1,100,100,0,100,100,0.0376127738,46.3455575872,15.9206034524,1.0000000000,0.8000000000,250.0000000000
81,100,0,6,0,100,100,0,100,100,0.0375468937,46.3080106935,15.5205630481,1.0000000000,0.8000000000,250.0000000000
82,100,0,5,0,100,100,0,100,100,0.0359474539,46.2720632396,15.6005629696,1.0000000000,0.8000000000,250.0000000000
83,100,0,6,0,100,100,0,100,100,0.0379685739,46.2340946657,15.5205674423,1.0000000000,0.8000000000,250.0000000000
84,100,0,6,0,100,100,0,100,100,0.0391544523,46.1949402134,15.5205808945,1.0000000000,0.8000000000,250.0000000000
85,100,0,8,0,100,100,0,100,100,0.0422739166,46.1526662968,15.3605621797,1.0000000000,0.8000000000,250.0000000000
86,100,0,14,0,100,100,0,100,100,0.0636943582,46.0889719385,14.8805811745,1.0000000000,0.8000000000,250.0000000000
87,100,0,25,0,100,100,0,100,100,0.0997076773,45.9892642612,14.0005518853,1.0000000000,0.8000000000,250.0000000000
88,100,0,2,0,100,100,0,100,100,0.0342897794,45.9549744818,15.8406774493,1.0000000000,0.8000000000,250.0000000000
89,100,0,1,0,100,100,0,100,100,0.0370777366,45.9178967452,15.9207663006,1.0000000000,0.8000000000,250.0000000000
90,100,0,1,1,100,100,0,100,100,0.0335480708,45.8843486744,15.9205544990,1.0000000000,0.8000000000,250.0000000000
91,100,0,5,0,100,100,0,100,100,0.0371795281,45.8471691463,15.6005625482,1.0000000000,0.8000000000,250.0000000000
92,100,0,9,0,100,100,0,100,100,0.0421267007,45.8050424455,15.2805649581,1.0000000000,0.8000000000,250.0000000000
93,100,0,8,0,100,100,0,100,100,0.0444342414,45.7606082042,15.3605717920,1.0000000000,0.8000000000,250.0000000000
94,100,0,4,0,100,100,0,100,100,0.0393990667,45.7212091375,15.6806131302,1.0000000000,0.8000000000,250.0000000000
95,100,0,9,0,100,100,0,100,100,0.0455329892,45.6756761483,15.2805623808,1.0000000000,0.8000000000,250.0000000000
96,100,0,11,0,100,100,0,100,100,0.0513087040,45.6243674443,15.1205696225,1.0000000000,0.8000000000,250.0000000000
97,100,0,7,0,100,100,0,100,100,0.0406673181,45.5837001262,15.4405538826,1.0000000000,0.8000000000,250.0000000000
98,100,0,15,0,100,100,0,100,100,0.0702663588,45.5134337674,14.8005604075,1.0000000000,0.8000000000,250.0000000000
99,100,0,1,0,100,100,0,100,100,0.0335480708,45.4798856966,15.9205544990,1.0000000000,0.8000000000,250.0000000000
100,100,0,1,1,100,100,0,100,100,0.0389456797,45.4409400169,15.9206159815,1.0000000000,0.8000000000,250.0000000000
101,100,0,4,0,100,100,0,100,100,0.0350141167,45.4059259002,15.6805324935,1.0000000000,0.8000000000,250.0000000000
102,100,0,4,0,100,100,0,100,100,0.0348065932,45.3711193070,15.6805449007,1.0000000000,0.8000000000,250.0000000000
103,100,0,4,0,100,100,0,100,100,0.0346308531,45.3364884539,15.6805837657,1.0000000000,0.8000000000,250.0000000000
104,100,0,6,0,100,100,0,100,100,0.0373830897,45.2991053642,15.5205583196,1.0000000000,0.8000000000,250.0000000000
105,100,0,3,0,100,100,0,100,100,0.0322814022,45.2668239620,15.7605740150,1.0000000000,0.8000000000,250.0000000000
106,100,0,9,0,100,100,0,100,100,0.0466087891,45.2202151729,15.2805585416,1.0000000000,0.8000000000,250.0000000000
107,100,0,11,0,100,100,0,100,100,0.0552646115,45.1649505615,15.1205780374,1.0000000000,0.8000000000,250.0000000000
108,100,0,11,0,100,100,0,100,100,0.0530312908,45.1119192707,15.1205720583,1.0000000000,0.8000000000,250.0000000000
109,100,0,11,0,100,100,0,100,100,0.0568333066,45.0550859641,15.1205793934,1.0000000000,0.8000000000,250.0000000000
110,100,0,1,0,100,100,0,100,100,0.0389886538,45.0160973102,15.9208444747,1.0000000000,0.8000000000,250.0000000000
111,100,0,4,0,100,100,0,100,100,0.0347663514,44.9813309588,15.6805435571,1.0000000000,0.8000000000,250.0000000000
112,100,0,4,0,100,100,0,100,100,0.0351102287,44.9462207300,15.6805619107,1.0000000000,0.8000000000,250.0000000000
113,100,0,4,0,100,100,0,100,100,0.0337270137,44.9124937163,15.6805601282,1.0000000000,0.8000000000,250.0000000000
114,100,0,5,0,100,100,0,100,100,0.0376856878,44.8748080286,15.6005810398,1.0000000000,0.8000000000,250.0000000000
115,100,0,5,0,100,100,0,100,100,0.0362649916,44.8385430370,15.6005616614,1.0000000000,0.8000000000,250.0000000000
116,100,0,7,0,100,100,0,100,100,0.0410368457,44.7975061913,15.4405902002,1.0000000000,0.8000000000,250.0000000000
117,100,0,5,0,100,100,0,100,100,0.0378224639,44.7596837274,15.6005723048,1.0000000000,0.8000000000,250.0000000000
118,100,0,7,0,100,100,0,100,100,0.0462371738,44.7134465536,15.4405892029,1.0000000000,0.8000000000,250.0000000000
119,100,0,14,0,100,100,0,100,100,0.0685184947,44.6449280589,14.8805628355,1.0000000000,0.8000000000,250.0000000000
120,100,0,11,0,100,100,0,100,100,0.0541983872,44.5907296717,15.1205668096,1.0000000000,0.8000000000,250.0000000000
