Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1478,96,4,1,96,95,1,0,0,0,0,95,95,0.0310166282,3.8455681883,96.0000000000,16.0437183790,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1479,96,4,1,96,95,1,0,0,0,0,95,95,0.0310166282,3.8145515600,96.0000000000,16.0437183790,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1480,96,4,1,96,95,1,0,0,0,0,95,95,0.0310166282,3.7835349318,96.0000000000,16.0437183790,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1481,96,4,1,96,95,1,0,1,97,285,95,95,0.0329877102,3.7505472216,96.0000000000,16.0438149166,0.9895833333,0.8436800000,227.0054997155,0,0,0,0
1482,96,4,1,96,95,1,0,0,0,0,95,95,0.0275086646,3.7230385569,96.0000000000,16.0438149166,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1483,96,4,1,96,95,1,0,0,0,0,95,95,0.0275086646,3.6955298923,96.0000000000,16.0438149166,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1484,96,4,1,96,95,1,0,0,0,0,95,95,0.0275086646,3.6680212276,96.0000000000,16.0438149166,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
1485,96,4,1,96,95,1,0,0,1,93,95,95,0.0313414013,3.6366798264,96.0000000000,16.0437039982,0.9895833333,0.7668800000,249.7392030044,0,0,1,0
1486,95,5,2,95,95,0,0,1,97,374,95,95,0.0307241549,3.6059556715,47.5000000000,15.9587982552,1.0000000000,0.8436800000,227.0054997155,0,0,0,0
1487,95,5,2,95,95,0,0,0,0,0,95,95,0.0245506312,3.5814050404,47.5000000000,15.9587982552,1.0000000000,0.7660800000,250.0000000000,0,0,0,0
1488,95,5,2,95,95,0,0,0,0,0,95,95,0.0245506312,3.5568544092,47.5000000000,15.9587982552,1.0000000000,0.7660800000,250.0000000000,0,0,0,0
1489,95,5,2,95,94,1,0,0,0,0,94,94,0.0243343243,3.5325200849,47.5000000000,15.9569928655,0.9894736842,0.7580160000,250.0000000000,0,0,0,0
1490,95,5,2,95,94,1,0,0,1,63,94,94,0.0274608730,3.5050592118,47.5000000000,15.9569613342,0.9894736842,0.7588160000,249.7364314933,0,0,1,0
1491,94,6,2,94,94,0,0,1,97,373,94,94,0.0327938544,3.4722653574,47.0000000000,15.9570827081,1.0000000000,0.8356160000,226.7835943783,0,0,0,0
1492,94,6,2,94,94,0,0,0,0,0,94,94,0.0266458658,3.4456194916,47.0000000000,15.9570827081,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1493,94,6,2,94,94,0,0,0,0,0,94,94,0.0266458658,3.4189736259,47.0000000000,15.9570827081,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1494,94,6,2,94,94,0,0,0,0,0,94,94,0.0266458658,3.3923277601,47.0000000000,15.9570827081,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1495,94,6,2,94,94,0,0,0,0,0,94,94,0.0266458658,3.3656818943,47.0000000000,15.9570827081,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1496,94,6,2,94,94,0,0,1,96,370,94,94,0.0328955393,3.3327863550,47.0000000000,15.9570660915,1.0000000000,0.8348160000,227.0009199632,0,0,0,0
1497,94,6,2,94,94,0,0,0,0,0,94,94,0.0267376743,3.3060486807,47.0000000000,15.9570660915,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1498,94,6,2,94,94,0,0,0,0,0,94,94,0.0267376743,3.2793110064,47.0000000000,15.9570660915,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1499,94,6,2,94,94,0,0,0,0,0,94,94,0.0267376743,3.2525733321,47.0000000000,15.9570660915,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1500,94,6,2,94,94,0,0,0,1,48,94,94,0.0275186406,3.2250546914,47.0000000000,15.9570293529,1.0000000000,0.7588160000,249.7364314933,0,0,1,0
1501,94,6,1,94,94,0,0,1,95,279,94,94,0.0403687938,3.1846858976,94.0000000000,15.7857177026,1.0000000000,0.8340160000,227.2186624717,0,0,0,3
1502,94,6,1,94,94,0,0,0,0,0,94,94,0.0344634261,3.1502224715,94.0000000000,15.7857177026,1.0000000000,0.7580160000,250.0000000000,0,0,0,3
1503,94,6,1,94,94,0,0,0,1,92,94,94,0.0295320062,3.1206904653,94.0000000000,16.0427571585,1.0000000000,0.7588160000,249.7364314933,0,0,1,0
1504,94,6,1,94,94,0,0,0,0,0,94,94,0.0285656205,3.0921248447,94.0000000000,16.0427571585,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1505,94,6,1,94,94,0,0,0,0,0,94,94,0.0285656205,3.0635592242,94.0000000000,16.0427571585,1.0000000000,0.7580160000,250.0000000000,0,0,0,0
1506,94,6,1,94,94,0,0,1,95,279,94,94,0.0329483854,3.0306108388,94.0000000000,16.0427409830,1.0000000000,0.8340160000,227.2186624717,0,0,0,0
1507,94,6,1,94,93,1,0,0,0,0,93,93,0.0271226818,3.0034881570,94.0000000000,16.0418182986,0.9893617021,0.7499520000,250.0000000000,0,0,0,0
1508,94,6,1,94,93,1,0,0,0,0,93,93,0.0271226818,2.9763654752,94.0000000000,16.0418182986,0.9893617021,0.7499520000,250.0000000000,0,0,0,0
1509,94,6,1,94,93,1,0,0,0,0,93,93,0.0271226818,2.9492427933,94.0000000000,16.0418182986,0.9893617021,0.7499520000,250.0000000000,0,0,0,0
1510,94,6,1,94,92,2,0,0,0,0,92,92,0.0267673205,2.9224754728,94.0000000000,16.0408747315,0.9787234043,0.7418880000,250.0000000000,0,0,0,0
1511,93,7,1,93,92,1,0,1,94,277,92,92,0.0359660909,2.8865093819,93.0000000000,16.0409358505,0.9892473118,0.8170880000,226.9914623639,0,0,0,0
1512,93,7,1,93,92,1,0,0,0,0,92,92,0.0300989054,2.8564104765,93.0000000000,16.0409358505,0.9892473118,0.7418880000,250.0000000000,0,0,0,0
1513,93,7,1,93,92,1,0,0,0,0,92,92,0.0300989054,2.8263115711,93.0000000000,16.0409358505,0.9892473118,0.7418880000,250.0000000000,0,0,0,0
1514,93,7,1,93,91,2,0,0,0,0,91,91,0.0297919323,2.7965196388,93.0000000000,16.0399725159,0.9784946237,0.7338240000,250.0000000000,0,0,0,0
1515,93,7,1,93,90,3,0,0,0,0,90,90,0.0294946396,2.7670249992,93.0000000000,16.0389879067,0.9677419355,0.7257600000,250.0000000000,0,0,0,0
1516,93,7,1,93,90,3,0,1,94,276,90,90,0.0316881844,2.7353368148,93.0000000000,16.0390964664,0.9677419355,0.8009600000,226.5281662006,0,0,0,0
1517,93,7,1,93,90,3,0,0,0,0,90,90,0.0263576014,2.7089792135,93.0000000000,16.0390964664,0.9677419355,0.7257600000,250.0000000000,0,0,0,0
1518,93,7,1,93,89,4,0,0,1,91,89,89,0.0296853832,2.6792938303,93.0000000000,16.0379834357,0.9569892473,0.7184960000,249.7216407607,0,0,1,0
1519,93,7,1,93,89,4,0,0,0,0,89,89,0.0287210675,2.6505727627,93.0000000000,16.0379834357,0.9569892473,0.7176960000,250.0000000000,0,0,0,0
