Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0333476728,48.9812373130,11.1111111111,14.8801708199,1.0000000000,0.8872000000,225.4283137962,0,0,0,5
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0205102670,48.9607270460,11.1111111111,14.8801708199,1.0000000000,0.8000000000,250.0000000000,0,0,0,5
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0205102670,48.9402167790,11.1111111111,14.8801708199,1.0000000000,0.8000000000,250.0000000000,0,0,0,5
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0205102670,48.9197065120,11.1111111111,14.8801708199,1.0000000000,0.8000000000,250.0000000000,0,0,0,5
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0205102670,48.8991962450,11.1111111111,14.8801708199,1.0000000000,0.8000000000,250.0000000000,0,0,0,5
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0241493200,48.8750469251,33.3333333333,11.9201504989,1.0000000000,0.8824000000,226.6545784225,0,0,0,48
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0175423381,48.8575045869,33.3333333333,11.9201504989,1.0000000000,0.8000000000,250.0000000000,0,0,0,48
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0175423381,48.8399622488,33.3333333333,11.9201504989,1.0000000000,0.8000000000,250.0000000000,0,0,0,48
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0175423381,48.8224199107,33.3333333333,11.9201504989,1.0000000000,0.8000000000,250.0000000000,0,0,0,48
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0175423381,48.8048775725,33.3333333333,11.9201504989,1.0000000000,0.8000000000,250.0000000000,0,0,0,48
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0302015465,48.7746760260,16.6666666667,14.8001688088,1.0000000000,0.8848000000,226.0397830018,0,0,0,9
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0205755546,48.7541004714,16.6666666667,14.8001688088,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0205755546,48.7335249168,16.6666666667,14.8001688088,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0205755546,48.7129493622,16.6666666667,14.8001688088,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0205755546,48.6923738076,16.6666666667,14.8001688088,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0253960800,48.6669777276,33.3333333333,13.4401818816,1.0000000000,0.8824000000,226.6545784225,0,0,0,29
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0189615363,48.6480161914,33.3333333333,13.4401818816,1.0000000000,0.8000000000,250.0000000000,0,0,0,29
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0189615363,48.6290546551,33.3333333333,13.4401818816,1.0000000000,0.8000000000,250.0000000000,0,0,0,29
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0189615363,48.6100931188,33.3333333333,13.4401818816,1.0000000000,0.8000000000,250.0000000000,0,0,0,29
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0189615363,48.5911315825,33.3333333333,13.4401818816,1.0000000000,0.8000000000,250.0000000000,0,0,0,29
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0269629500,48.5641686325,50.0000000000,14.4001434279,1.0000000000,0.8816000000,226.8602540835,0,0,0,18
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0215073580,48.5426612746,50.0000000000,14.4001434279,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0215073580,48.5211539166,50.0000000000,14.4001434279,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0215073580,48.4996465586,50.0000000000,14.4001434279,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0215073580,48.4781392006,50.0000000000,14.4001434279,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0267624128,48.4513767878,25.0000000000,13.5201677732,1.0000000000,0.8832000000,226.4492753623,0,0,0,27
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0192304308,48.4321463569,25.0000000000,13.5201677732,1.0000000000,0.8000000000,250.0000000000,0,0,0,27
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0192304308,48.4129159261,25.0000000000,13.5201677732,1.0000000000,0.8000000000,250.0000000000,0,0,0,27
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0192304308,48.3936854953,25.0000000000,13.5201677732,1.0000000000,0.8000000000,250.0000000000,0,0,0,27
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0192304308,48.3744550644,25.0000000000,13.5201677732,1.0000000000,0.8000000000,250.0000000000,0,0,0,27
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0207155005,48.3537395639,100.0000000000,10.3201544959,1.0000000000,0.8808000000,227.0663033606,0,0,0,70
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0159199773,48.3378195867,100.0000000000,10.3201544959,1.0000000000,0.8000000000,250.0000000000,0,0,0,70
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0159199773,48.3218996094,100.0000000000,10.3201544959,1.0000000000,0.8000000000,250.0000000000,0,0,0,70
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0159199773,48.3059796321,100.0000000000,10.3201544959,1.0000000000,0.8000000000,250.0000000000,0,0,0,70
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0159199773,48.2900596548,100.0000000000,10.3201544959,1.0000000000,0.8000000000,250.0000000000,0,0,0,70
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0204248926,48.2696347622,100.0000000000,9.7601504420,1.0000000000,0.8808000000,227.0663033606,0,0,0,77
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0154407663,48.2541939959,100.0000000000,9.7601504420,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0154407663,48.2387532296,100.0000000000,9.7601504420,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0154407663,48.2233124633,100.0000000000,9.7601504420,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0154407663,48.2078716970,100.0000000000,9.7601504420,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0215843073,48.1862873897,100.0000000000,10.8801418913,1.0000000000,0.8808000000,227.0663033606,0,0,0,63
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0170343058,48.1692530839,100.0000000000,10.8801418913,1.0000000000,0.8000000000,250.0000000000,0,0,0,63
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0170343058,48.1522187781,100.0000000000,10.8801418913,1.0000000000,0.8000000000,250.0000000000,0,0,0,63
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0170343058,48.1351844723,100.0000000000,10.8801418913,1.0000000000,0.8000000000,250.0000000000,0,0,0,63
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0170343058,48.1181501666,100.0000000000,10.8801418913,1.0000000000,0.8000000000,250.0000000000,0,0,0,63
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0282430518,48.0899071147,20.0000000000,14.1601774654,1.0000000000,0.8840000000,226.2443438914,0,0,0,18
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0196984464,48.0702086683,20.0000000000,14.1601774654,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0196984464,48.0505102220,20.0000000000,14.1601774654,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0196984464,48.0308117756,20.0000000000,14.1601774654,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0196984464,48.0111133292,20.0000000000,14.1601774654,1.0000000000,0.8000000000,250.0000000000,0,0,0,18
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0206014496,47.9905118796,100.0000000000,10.0001546043,1.0000000000,0.8808000000,227.0663033606,0,0,0,74
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0157048430,47.9748070367,100.0000000000,10.0001546043,1.0000000000,0.8000000000,250.0000000000,0,0,0,74
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0157048430,47.9591021937,100.0000000000,10.0001546043,1.0000000000,0.8000000000,250.0000000000,0,0,0,74
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0157048430,47.9433973508,100.0000000000,10.0001546043,1.0000000000,0.8000000000,250.0000000000,0,0,0,74
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0157048430,47.9276925078,100.0000000000,10.0001546043,1.0000000000,0.8000000000,250.0000000000,0,0,0,74
101,100,0,8,100,100,0,0,1,108,976,100,100,0.0315681137,47.8961243941,12.5000000000,14.4801716137,1.0000000000,0.8864000000,225.6317689531,0,0,0,11
102,100,0,8,100,100,0,0,0,0,0,100,100,0.0198229241,47.8763014701,12.5000000000,14.4801716137,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
103,100,0,8,100,100,0,0,0,0,0,100,100,0.0198229241,47.8564785460,12.5000000000,14.4801716137,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
104,100,0,8,100,100,0,0,0,0,0,100,100,0.0198229241,47.8366556220,12.5000000000,14.4801716137,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
105,100,0,8,100,100,0,0,0,0,0,100,100,0.0198229241,47.8168326979,12.5000000000,14.4801716137,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
106,100,0,3,100,100,0,0,1,103,491,100,100,0.0249679333,47.7918647646,33.3333333333,12.8801600421,1.0000000000,0.8824000000,226.6545784225,0,0,0,36
107,100,0,3,100,100,0,0,0,0,0,100,100,0.0184736764,47.7733910881,33.3333333333,12.8801600421,1.0000000000,0.8000000000,250.0000000000,0,0,0,36
108,100,0,3,100,100,0,0,0,0,0,100,100,0.0184736764,47.7549174117,33.3333333333,12.8801600421,1.0000000000,0.8000000000,250.0000000000,0,0,0,36
109,100,0,3,100,100,0,0,0,0,0,100,100,0.0184736764,47.7364437352,33.3333333333,12.8801600421,1.0000000000,0.8000000000,250.0000000000,0,0,0,36
110,100,0,3,100,100,0,0,0,0,0,100,100,0.0184736764,47.7179700588,33.3333333333,12.8801600421,1.0000000000,0.8000000000,250.0000000000,0,0,0,36
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0326720117,47.6852980471,12.5000000000,15.2001652396,1.0000000000,0.8864000000,225.6317689531,0,0,0,2
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0209180785,47.6643799686,12.5000000000,15.2001652396,1.0000000000,0.8000000000,250.0000000000,0,0,0,2
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0209180785,47.6434618900,12.5000000000,15.2001652396,1.0000000000,0.8000000000,250.0000000000,0,0,0,2
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0209180785,47.6225438115,12.5000000000,15.2001652396,1.0000000000,0.8000000000,250.0000000000,0,0,0,2
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0209180785,47.6016257329,12.5000000000,15.2001652396,1.0000000000,0.8000000000,250.0000000000,0,0,0,2
116,100,0,4,100,100,0,0,1,104,588,100,100,0.0274198689,47.5742058640,25.0000000000,14.0001693373,1.0000000000,0.8832000000,226.4492753623,0,0,0,21
117,100,0,4,100,100,0,0,0,0,0,100,100,0.0199105538,47.5542953102,25.0000000000,14.0001693373,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
118,100,0,4,100,100,0,0,0,0,0,100,100,0.0199105538,47.5343847564,25.0000000000,14.0001693373,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
119,100,0,4,100,100,0,0,0,0,0,100,100,0.0199105538,47.5144742026,25.0000000000,14.0001693373,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
120,100,0,4,100,100,0,0,0,0,0,100,100,0.0199105538,47.4945636488,25.0000000000,14.0001693373,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
121,100,0,7,100,100,0,0,1,107,879,100,100,0.0311077001,47.4634559486,14.2857142857,14.4001736692,1.0000000000,0.8856000000,225.8355916893,0,0,0,13
122,100,0,7,100,100,0,0,0,0,0,100,100,0.0203552279,47.4431007207,14.2857142857,14.4001736692,1.0000000000,0.8000000000,250.0000000000,0,0,0,13
123,100,0,7,100,100,0,0,0,0,0,100,100,0.0203552279,47.4227454929,14.2857142857,14.4001736692,1.0000000000,0.8000000000,250.0000000000,0,0,0,13
124,100,0,7,100,100,0,0,0,0,0,100,100,0.0203552279,47.4023902650,14.2857142857,14.4001736692,1.0000000000,0.8000000000,250.0000000000,0,0,0,13
125,100,0,7,100,100,0,0,0,0,0,100,100,0.0203552279,47.3820350371,14.2857142857,14.4001736692,1.0000000000,0.8000000000,250.0000000000,0,0,0,13
126,100,0,5,100,100,0,0,1,105,685,100,100,0.0285057839,47.3535292532,20.0000000000,13.9201690830,1.0000000000,0.8840000000,226.2443438914,0,0,0,21
127,100,0,5,100,100,0,0,0,0,0,100,100,0.0199040842,47.3336251689,20.0000000000,13.9201690830,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
